raw_item,canonical_item_suggested,grouping_reason,category_guess,perishable_guess,units_per_week_all,units_per_week_13w,total_qty,package_volume
"Sweet Potatoes Whole Fresh, Each",Sweet Potatoes Whole Each,kept_previous,Uncategorized,Non-perishable,0.3727,0.0000,23.00,
"TAZO Classic Chai Latte Black Tea Concentrate, Made from Real Black Tea, 32oz Carton",Tazo Classic Chai Latte,kept_previous,Uncategorized,Non-perishable,0.3727,0.6923,23.00,32oz
"Bush's Chili Beans, Canned Pinto Beans in Mild Chili Sauce, 27 oz Can",Bush S Chili Beans,kept_previous,Pantry,Non-perishable,0.3565,0.3846,22.00,27 oz
"McCormick Chili Seasoning Mix, 1.25 oz Packet",Mccormick Chili Seasoning Mix,kept_previous,Uncategorized,Non-perishable,0.3565,0.3846,22.00,1.25 oz
"Great Value Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable)",Reduced Sodium Chicken Broth,kept_previous,Uncategorized,Perishable,0.3403,0.4615,21.00,32 oz
"Great Value Muenster Deli Style Sliced Cheese, 8 oz, 12 Slices",Muenster Deli Style Sliced,kept_previous,Dairy,Perishable,0.3241,0.3077,20.00,8 oz
"Oikos Pro Shots 10g Protein, Mango Cultured Dairy Drinks Bottles, 3.1 fl oz, 6 Count​",Protein Yogurt Drinks,\boikos pro\b|\bchobani 20g protein\b|\bcultured dairy drink\b|\byogurt drink\b|\bprotein.*drink\b,Dairy,Perishable,0.3241,0.2308,20.00,10g
"Great Value Sharp Cheddar Finely Shredded Cheese, 16 oz Bag",Sharp Cheddar Finely Shredded,kept_previous,Dairy,Perishable,0.3241,0.8462,20.00,16 oz
"Perdue Harvestland, Fresh Ground Chicken, 92% Lean 8% Fat, 1 lb. Tray",Perdue Harvestland Ground Chicken,kept_previous,Uncategorized,Perishable,0.3079,0.4615,19.00,1 lb
"Great Value Colby & Monterey Jack Cheese Snack, 9 oz Bag, 12 Cheese Sticks",Colby Monterey Jack Cheese,kept_previous,Dairy,Perishable,0.2917,0.5385,18.00,9 oz
"Great Value Cut Green Beans, 14.5 oz Can",Cut Green Beans Can,kept_previous,Pantry,Non-perishable,0.2917,0.0000,18.00,14.5 oz
"Pacific Foods Organic Creamy Tomato Soup, 32 oz Carton",Tomatoes,\b(cherry )?tomato,Produce,Perishable,0.2917,0.3077,18.00,32 oz
"Fresh Whole Celery Stalk, 1 Each Bag",Whole Celery Stalk Each,kept_previous,Uncategorized,Non-perishable,0.2917,0.6154,18.00,1 Each
"Plum Organics® Tots Mighty Builder Fruit & Veggie Blend Pear, White Bean, Blueberry, Date + Chia & Banana, White Bean, Strawberry + Chia 4oz Pouch-8-pack",Bananas,\bbanana\b,Produce,Perishable,0.2593,0.0000,16.00,4oz
"PopCorners No Artificial Colors or Flavors White Cheddar Popped Corn Chips Bag, 7 oz",Corn,\bwhole kernel corn\b|\bsweet corn\b|\bcorn\b,Pantry,Non-perishable,0.2593,0.3077,16.00,7 oz
"Planet Oat Oat Milk, Velvety & Smooth, Barista Lovers, 52 fl oz",Milk,\bmilk\b,Dairy,Perishable,0.2593,0.3846,16.00,52 fl oz
"Nature's Own 100% Whole Wheat, Whole Wheat Sandwich Bread, 20 oz Loaf, Shelf-Stable",Bread,\bbread\b|\bloaf\b,Bakery,Non-perishable,0.2431,0.1538,15.00,20 oz
"Great Value Original Sour Cream, 24 oz Tub",Sour Cream Tub,kept_previous,Uncategorized,Non-perishable,0.2431,0.3846,15.00,24 oz
"Fresh Strawberries, 1 lb",Strawberries,kept_previous,Uncategorized,Non-perishable,0.2431,0.0769,15.00,1 lb
"Great Value Turkey Pepperoni Slices, 5 oz",Turkey Pepperoni Slices,kept_previous,Meat,Non-perishable,0.2431,0.6154,15.00,5 oz
"Activia Probiotic Dailies Strawberry Low Fat Probiotic Yogurt Drinks, Helps Support Gut Health, 3.1 fl oz, 8 Count",Activia Probiotic Dailies Strawberry,kept_previous,Dairy,Perishable,0.2269,0.0000,14.00,3.1 fl oz
"Pepperidge Farm Raisin Cinnamon Swirl Breakfast Bread, 16 oz Loaf",Bread,\bbread\b|\bloaf\b,Bakery,Non-perishable,0.2269,0.4615,14.00,16 oz
"Fritos Regular Corn Chips, 9.25 oz Single Bag",Corn,\bwhole kernel corn\b|\bsweet corn\b|\bcorn\b,Pantry,Non-perishable,0.2269,0.5385,14.00,9.25 oz
"TPH BY TARAJI Hustle & Co Hydrating Co Wash Cleansing Hair Conditioner | Coily & Curly Hair | All Genders, 12 oz.",Tph By Taraji Hustle,kept_previous,Uncategorized,Non-perishable,0.2269,0.0769,14.00,12 oz
"DiGiorno Classic Crust Cheese Pizza, 19.1 oz (Frozen)",Digiorno Classic Crust Cheese,kept_previous,Dairy,Perishable,0.2106,0.0000,13.00,19.1 oz
"Fresh Lime, Each",Lime Each,kept_previous,Uncategorized,Non-perishable,0.2106,0.9231,13.00,
"Fresh Whole Brown Mushrooms, 8 oz",Whole Brown Mushrooms,kept_previous,Uncategorized,Non-perishable,0.2106,0.3846,13.00,8 oz
"Fritos Scoops! Corn Snacks, Party Size, 15.5 oz Bag",Corn,\bwhole kernel corn\b|\bsweet corn\b|\bcorn\b,Pantry,Non-perishable,0.1944,0.0000,12.00,15.5 oz
"Kerrygold Grass-Fed Pure Irish Salted Butter Sticks, 8 oz, 2 Sticks",Kerrygold Grass Fed Pure,kept_previous,Uncategorized,Non-perishable,0.1944,0.3846,12.00,8 oz
"HERSHEY’S a2 Milk® Chocolate 2% Reduced Fat Milk Boxes, 8 oz, 12-Pack",Milk,\bmilk\b,Dairy,Perishable,0.1944,0.0000,12.00,8 oz
"Pillsbury Grands! Southern Homestyle Buttermilk Biscuits, 2 Pack, 16 Biscuits, 32.6 oz",Pillsbury Grands Southern Homestyle,kept_previous,Dairy,Perishable,0.1944,0.0769,12.00,2 Pack
"Smithfield Hickory Smoked Bacon, 16 oz, Gluten-Free, No MSG",Smithfield Hickory Smoked Bacon,kept_previous,Uncategorized,Non-perishable,0.1944,0.4615,12.00,16 oz
"TPH BY TARAJI Make it Rain Hydrating Deep Conditioner With Aloe Vera, Avocado Oil, & Moringa Oil For All Hair Types | Detangler For Curly, Coily & Wavy Hair | Color Safe & Sulfate Free, 12 oz.",Tph By Taraji Make,kept_previous,Uncategorized,Non-perishable,0.1944,0.0769,12.00,12 oz
"Organic Fresh Whole Carrots, 2 lb Bag",Whole Carrots Bag,kept_previous,Uncategorized,Non-perishable,0.1944,0.0769,12.00,2 lb
La Banderita Yellow Corn Tortilla 30 Count,Corn,\bwhole kernel corn\b|\bsweet corn\b|\bcorn\b,Pantry,Non-perishable,0.1782,0.1538,11.00,30 Count
"Gordo's Original Queso Cheese Dip, 16 oz, Refrigerated Dip",Gordo S Queso Cheese,kept_previous,Dairy,Perishable,0.1782,0.3846,11.00,16 oz
"Heinz Chili Sauce, 12 oz Bottle",Heinz Chili Sauce Bottle,kept_previous,Uncategorized,Non-perishable,0.1782,0.0000,11.00,12 oz
"Honey Nut Cheerios, Heart Healthy Cereal, Affirmations Box, Mega Size, 27.2 oz",Honey Nut Cheerios Heart,kept_previous,Uncategorized,Non-perishable,0.1782,0.3846,11.00,27.2 oz
"Great Value No Stir Creamy Natural Peanut Butter Spread, 40 oz",No Stir Creamy Natural,kept_previous,Uncategorized,Non-perishable,0.1782,0.3846,11.00,40 oz
Fresh Whole Russet Potatoes 5 lb Bag,Whole Russet Potatoes Bag,kept_previous,Uncategorized,Non-perishable,0.1782,0.3077,11.00,5 lb
"Fresh Honeycrisp Apples, 3 lb Bag",Apples,\b(envy|honeycrisp|cosmic crisp|granny smith)\b.*\bapple,Produce,Perishable,0.1620,0.0000,10.00,3 lb
"Blue Diamond Almonds, Lightly Salted Low Sodium Snack Nuts For Gluten Free Snacking, 14 oz.",Blue Diamond Almonds Lightly,kept_previous,Uncategorized,Non-perishable,0.1620,0.0769,10.00,14 oz
Cabot Creamery Cabot Whole Milk Plain Greek Yogurt 2 lb (Refrigerated  Tub),Milk,\bmilk\b,Dairy,Perishable,0.1620,0.2308,10.00,2 lb
"Great Value Mixed Vegetables, 12 oz Steamable Bag (Frozen)",Mixed Vegetables Steamable Bag,kept_previous,Uncategorized,Non-perishable,0.1620,0.1538,10.00,12 oz
"Old El Paso Mild Red Enchilada Sauce, Meal Prep, 10 oz",Old El Paso Mild,kept_previous,Uncategorized,Non-perishable,0.1620,0.3077,10.00,10 oz
"Pace Chunky Medium Salsa, 64 oz Bottle",Pace Chunky Medium Salsa,kept_previous,Uncategorized,Non-perishable,0.1620,0.2308,10.00,64 oz
"Perdue Harvestland, Free Range, Fresh Chicken Breast Tenderloin Pieces, 0.8-1.7lb. Tray",Perdue Harvestland Free Range,kept_previous,Uncategorized,Perishable,0.1620,0.3077,10.00,1.7lb
"Chobani 20G Protein Low-Fat Greek Yogurt Drink, Strawberries and Cream 10 fl oz Bottle, 4 Pack",Protein Yogurt Drinks,\boikos pro\b|\bchobani 20g protein\b|\bcultured dairy drink\b|\byogurt drink\b|\bprotein.*drink\b,Dairy,Perishable,0.1620,0.1538,10.00,20G
"Scott 1000 Toilet Paper, 12 Rolls, 1,000 Sheets per Roll",Scott Toilet Paper Rolls,kept_previous,Uncategorized,Non-perishable,0.1620,0.2308,10.00,
"Green Bell Pepper, 1 each",Green Bell Pepper Each,kept_previous,Uncategorized,Non-perishable,0.1458,0.1538,9.00,1 each
"Fresh Hass Avocados, Each",Hass Avocados Each,kept_previous,Uncategorized,Non-perishable,0.1458,0.3846,9.00,
"Hellmann's Real Mayonnaise Rich Creamy Condiment Gluten Free, 20 oz Squeeze Bottle",Hellmann S Real Mayonnaise,kept_previous,Uncategorized,Non-perishable,0.1458,0.3077,9.00,20 oz
"Mission Super Soft Flour Tortillas, Soft Taco Size, 10 Count",Mission Super Soft Flour,kept_previous,Uncategorized,Non-perishable,0.1458,0.0000,9.00,10 Count
"Fresh Red Bell Pepper, 1 Each",Red Bell Pepper Each,kept_previous,Uncategorized,Non-perishable,0.1458,0.3077,9.00,1 Each
"Snack Factory Original Pretzel Crisps, Non-GMO, 14 oz Party Size Bag",Snack Factory Pretzel Crisps,kept_previous,Uncategorized,Non-perishable,0.1458,0.0769,9.00,14 oz
SunButter Original Sunflower Seed Butter 16 oz Jar,Sunbutter Sunflower Seed Butter,kept_previous,Uncategorized,Non-perishable,0.1458,0.0000,9.00,16 oz
"Fresh Slicing Tomato, Each",Tomatoes,\b(cherry )?tomato,Produce,Perishable,0.1458,0.5385,9.00,
"Fresh Whole Yellow Onion, Each",Whole Yellow Onion Each,kept_previous,Uncategorized,Non-perishable,0.1458,0.3846,9.00,
"PopCorners No Artificial Colors or Flavors Kettle Corn Popped Corn Chips Bag, 7 oz​",Corn,\bwhole kernel corn\b|\bsweet corn\b|\bcorn\b,Pantry,Non-perishable,0.1296,0.3077,8.00,7 oz
"Jet-Puffed Mini Marshmallows, 10 oz Bag",Jet Puffed Mini Marshmallows,kept_previous,Uncategorized,Non-perishable,0.1296,0.4615,8.00,10 oz
"Kraft Mexican Style Cheddar Jack Shredded Cheese, 16 oz Bag",Kraft Mexican Style Cheddar,kept_previous,Dairy,Perishable,0.1296,0.0000,8.00,16 oz
"Little Debbie Vanilla Christmas Tree Cakes, 8.52 oz, 5 Count",Little Debbie Vanilla Christmas,kept_previous,Uncategorized,Non-perishable,0.1296,0.1538,8.00,8.52 oz
