raw_item,canonical_item_suggested,grouping_reason,category_guess,perishable_guess,units_per_week_all,units_per_week_13w,total_qty,package_volume
Alexia® Sweet Potato Fries Sweet & Savory with Sea Salt 20oz,Alexia Sweet Potato Fries,kept_previous,Uncategorized,Non-perishable,0.0648,0.0000,4.00,20oz
Applegate Natural Uncured Genoa Salami - 4oz,Applegate Natural Uncured Genoa,kept_previous,Produce,Perishable,0.0648,0.0000,4.00,4oz
"Fresh Cosmic Crisp Apples, 3 lb Bag",Apples,\b(envy|honeycrisp|cosmic crisp|granny smith)\b.*\bapple,Produce,Perishable,0.0648,0.1538,4.00,3 lb
"GoGo squeeZ No Sugar Added Apple Apple Applesauce & Fruit Puree Pouches, 3.2 oz (24 Pack)",Apples,\bapple\b,Produce,Perishable,0.0648,0.0769,4.00,3.2 oz
"BelGioioso Freshly Shredded Parmesan Cheese, 5 oz Refrigerated Plastic Cup",Belgioioso Freshly Shredded Parmesan,kept_previous,Dairy,Perishable,0.0648,0.2308,4.00,5 oz
"Bush's Black Beans, Canned Beans, 15 oz",Black Beans,\bblack beans\b,Pantry,Non-perishable,0.0648,0.3077,4.00,15 oz
Tostitos Multigrain Scoops! Tortilla Chips-10oz,Chips,\btostitos\b|\bfritos\b|\btortilla chips\b|\bcorn snacks\b,Snacks,Non-perishable,0.0648,0.0000,4.00,10oz
"Great Value Classic Alfredo Pasta Sauce, 22 oz",Classic Alfredo Pasta Sauce,kept_previous,Uncategorized,Non-perishable,0.0648,0.0000,4.00,22 oz
"Classico Four Cheese Alfredo Pasta Sauce, 15 oz. Jar",Classico Four Cheese Alfredo,kept_previous,Dairy,Perishable,0.0648,0.0000,4.00,15 oz
"Classico Signature Recipes Traditional Pizza Sauce, 14 oz Jar",Classico Signature Recipes Traditional,kept_previous,Uncategorized,Non-perishable,0.0648,0.2308,4.00,14 oz
"Philadelphia Cream Cheese, 2 Blocks, for Recipes and Baking, Original, No Artificial Preservatives, Flavors or Dye, 8 oz",Cream Cheese,\bwhipped cream cheese\b|\bcream cheese\b,Dairy,Perishable,0.0648,0.3077,4.00,8 oz
"Pillsbury Creamy Supreme Cream Cheese Frosting, 16 oz Tub",Cream Cheese,\bwhipped cream cheese\b|\bcream cheese\b,Dairy,Perishable,0.0648,0.1538,4.00,16 oz
"Crest Toothpaste, 3DWhite Advanced Whitening Toothpaste, Radiant Mint, 3.3 oz, 3 Pack",Crest Toothpaste Dwhite Advanced,kept_previous,Uncategorized,Non-perishable,0.0648,0.0000,4.00,3.3 oz
"Great Value Crispy and Salty Pretzel Sticks, 16 oz",Crispy And Salty Pretzel,kept_previous,Uncategorized,Non-perishable,0.0648,0.1538,4.00,16 oz
"Dial Antibacterial Defense Fresh Lavender Scent Foaming Hand Soap, 7.5 fl oz",Dial Antibacterial Defense Lavender,kept_previous,Uncategorized,Non-perishable,0.0648,0.1538,4.00,7.5 fl oz
"Eggland's Best Large White Eggs, 18 Count",Eggland S Best Large,kept_previous,Uncategorized,Non-perishable,0.0648,0.3077,4.00,18 Count
"Great Value Fiesta Blend Finely Shredded Cheese, 8 oz Bag",Fiesta Blend Finely Shredded,kept_previous,Dairy,Perishable,0.0648,0.0000,4.00,8 oz
General Mills Cheerios Honey Nut Breakfast Cereal - 27.2oz,General Mills Cheerios Honey,kept_previous,Uncategorized,Non-perishable,0.0648,0.1538,4.00,27.2oz
Kraft Mexican Style Four Cheese Finely Shredded Natural Cheese 16oz Bag,Kraft Mexican Style Four,kept_previous,Dairy,Perishable,0.0648,0.0769,4.00,16oz
Mainstays – 4x6 Picture Frame – White Step Program Tabletop Photo Frame,Mainstays X Picture Frame,kept_previous,Uncategorized,Non-perishable,0.0648,0.0000,4.00,4x6
"Manwich Original Sloppy Joe Sauce, Canned Sauce, 15 oz",Manwich Sloppy Joe Sauce,kept_previous,Uncategorized,Non-perishable,0.0648,0.0000,4.00,15 oz
"Martin's Hoagie Rolls, 6 count",Martin S Hoagie Rolls,kept_previous,Uncategorized,Non-perishable,0.0648,0.0000,4.00,6 count
"Galbani Whole Milk Ricotta Cheese, 32 oz (Refrigerated)",Milk,\bmilk\b,Dairy,Perishable,0.0648,0.0000,4.00,32 oz
"Nestle Toll House Semi Sweet Chocolate Baking Chips, 12 oz Bag",Nestle Toll House Semi,kept_previous,Snacks,Non-perishable,0.0648,0.3077,4.00,12 oz
"Olé Mexican Foods Xtreme Wellness High Fiber Keto Certified Flour Tortilla Wraps, 12.7 oz, 8 Count",Ol Mexican Foods Xtreme,kept_previous,Uncategorized,Non-perishable,0.0648,0.0000,4.00,12.7 oz
"Old El Paso Hot Red Enchilada Sauce, 10 oz.",Old El Paso Hot,kept_previous,Uncategorized,Non-perishable,0.0648,0.0000,4.00,10 oz
"Ore-Ida Extra Crispy Fast Food French Fries French Fried Potatoes, 26 oz Bag",Ore Ida Extra Crispy,kept_previous,Uncategorized,Non-perishable,0.0648,0.0000,4.00,26 oz
"Pillsbury Original Crescent Rolls, Dough, 2 Pack, 16 Rolls, 16 oz",Pillsbury Crescent Rolls Dough,kept_previous,Uncategorized,Non-perishable,0.0648,0.1538,4.00,2 Pack
"Pillsbury Grands! Southern Style Frozen Breakfast Biscuits, Value Pack, 20 ct., 41.6 oz",Pillsbury Grands Southern Style,kept_previous,Uncategorized,Non-perishable,0.0648,0.3077,4.00,20 ct
Plum Organics® Jammy Sammy® Snack Size Sandwich Bar Blueberry + Oatmeal 5-Count Box/1.02oz Bars,Plum Organics Jammy Sammy,kept_previous,Uncategorized,Non-perishable,0.0648,0.0000,4.00,1.02oz
Chobani 20G Protein Low-Fat Greek Yogurt Drink Mixed Berry Vanilla 10 fl oz Bottle,Protein Yogurt Drinks,\boikos pro\b|\bchobani 20g protein\b|\bcultured dairy drink\b|\byogurt drink\b|\bprotein.*drink\b,Dairy,Perishable,0.0648,0.0000,4.00,20G
"Queso-Melt Original Restaurant Style Melting Cheese, 10 oz, 1 Count",Queso Melt Restaurant Style,kept_previous,Dairy,Perishable,0.0648,0.0000,4.00,10 oz
"Fresh Romaine Lettuce Hearts 3 Count, Each",Romaine Lettuce Hearts Each,kept_previous,Uncategorized,Non-perishable,0.0648,0.1538,4.00,3 Count
"Sargento® Sliced Muenster Natural Cheese, 11 Slices",Sargento Sliced Muenster Natural,kept_previous,Dairy,Perishable,0.0648,0.2308,4.00,
"Starry Lemon Lime Soda Pop, 7.5 fl oz, 10 Pack Mini Cans",Starry Lemon Lime Soda,kept_previous,Uncategorized,Non-perishable,0.0648,0.0000,4.00,7.5 fl oz
"Sterilite File Crate, Versatile Plastic Bin with Handles, Letter or Legal File Storage, Black, Standard Size",Sterilite File Crate Versatile,kept_previous,Uncategorized,Non-perishable,0.0648,0.0000,4.00,
"Great Value Tomato Paste, 6 oz",Tomatoes,\b(cherry )?tomato,Produce,Perishable,0.0648,0.3077,4.00,6 oz
"Tropicana Pure Premium 100% Orange Juice Original, No Pulp, No Sugar Added, 46 fl oz",Tropicana Pure Premium Orange,kept_previous,Uncategorized,Non-perishable,0.0648,0.3077,4.00,46 fl oz
"Wonder Nation Boys Short Sleeve Top and Pants, 2-Piece Sleep Set, Sizes 4-18 Plus Husky",Wonder Nation Boys Short,kept_previous,Uncategorized,Non-perishable,0.0648,0.0000,4.00,
Applegate Natural Uncured Peppered Genoa Salami - 4oz,Applegate Natural Uncured Peppered,kept_previous,Produce,Perishable,0.0486,0.1538,3.00,4oz
"Marketside Organic Baby Arugula Salad, 5 oz Clam Shell (Fresh)",Baby Arugula Salad Clam,kept_previous,Uncategorized,Non-perishable,0.0486,0.2308,3.00,5 oz
"Barilla Classic Whole Grain Pasta, Thin Spaghetti Noodles, 16 oz",Barilla Classic Whole Grain,kept_previous,Uncategorized,Non-perishable,0.0486,0.0000,3.00,16 oz
"Bella Rosa Shredded Parmesan Cheese, Refrigerated 5 oz  Recyclable Plastic Cup",Bella Rosa Shredded Parmesan,kept_previous,Dairy,Perishable,0.0486,0.0000,3.00,5 oz
"Betty Crocker Bisquick Pancake and Baking Mix, Original, 20 oz",Betty Crocker Bisquick Pancake,kept_previous,Uncategorized,Non-perishable,0.0486,0.1538,3.00,20 oz
"Freshness Guaranteed Sliced Sourdough Bread Loaf, 24 oz",Bread,\bbread\b|\bloaf\b,Bakery,Non-perishable,0.0486,0.1538,3.00,24 oz
"Pepperidge Farm Farmhouse Sourdough Bread, 24 oz Loaf",Bread,\bbread\b|\bloaf\b,Bakery,Non-perishable,0.0486,0.1538,3.00,24 oz
"Bush's Chili Beans, Canned Pinto Beans in Mild Chili Sauce, 16 oz Can",Bush S Chili Beans,kept_previous,Pantry,Non-perishable,0.0486,0.0000,3.00,16 oz
Cantu Shea Butter for Natural Hair Complete Conditioning Co-Wash 10 oz,Cantu Shea Butter For,kept_previous,Uncategorized,Non-perishable,0.0486,0.0000,3.00,10 oz
"Fresh Celery Hearts, Each",Celery Hearts Each,kept_previous,Uncategorized,Non-perishable,0.0486,0.0000,3.00,
"Classico Extra Creamy Alfredo Pasta Sauce, 15 oz Jar",Classico Extra Creamy Alfredo,kept_previous,Uncategorized,Non-perishable,0.0486,0.0000,3.00,15 oz
Popcorners Kettle Corn Snacks Sharing Size - 7oz,Corn,\bwhole kernel corn\b|\bsweet corn\b|\bcorn\b,Pantry,Non-perishable,0.0486,0.1538,3.00,7oz
"Crunchmaster Multi-Seed Original Gluten-Free crackers, Party Pack, 7 oz. Bag in Box",Crunchmaster Multi Seed Crackers,kept_previous,Uncategorized,Non-perishable,0.0486,0.1538,3.00,7 oz
"Dawn Powerwash Spray Refill, Dish Soap, Dishwashing Liquid, Fresh, 1 Refill",Dawn Powerwash Spray Refill,kept_previous,Uncategorized,Non-perishable,0.0486,0.0000,3.00,
"DiGiorno Frozen Pizza, Rising Crust Four Cheese, 24.6 oz (Frozen)",Digiorno Frozen Pizza Rising,kept_previous,Dairy,Perishable,0.0486,0.0000,3.00,24.6 oz
"Eggland's Best Extra Large White Eggs, 18 Count",Eggland S Best Extra,kept_previous,Uncategorized,Non-perishable,0.0486,0.2308,3.00,18 Count
"Great Value Elbows, 16 oz",Elbows,kept_previous,Uncategorized,Non-perishable,0.0486,0.0000,3.00,16 oz
Entertainment Collection Crackers Variety Pack - 13.1oz - Good & Gather™,Entertainment Collection Crackers Variety,kept_previous,Uncategorized,Non-perishable,0.0486,0.2308,3.00,13.1oz
Fever-Tree Ginger Beer 150ml Cans; 8-pack,Fever Tree Ginger Beer,kept_previous,Uncategorized,Non-perishable,0.0486,0.2308,3.00,150ml
"Great Value Fiesta Cheese Finely Shredded Blend, 32 oz Bag",Fiesta Cheese Finely Shredded,kept_previous,Dairy,Perishable,0.0486,0.0000,3.00,32 oz
"Flonase Allergy Relief Fluticasone Nasal Spray, 24 Hour Non-Drowsy Allergy Medicine, Metered Nasal Spray - 72 Sprays - Fall And Seasonal Allergy Relief",Flonase Allergy Relief Fluticasone,kept_previous,Uncategorized,Non-perishable,0.0486,0.0000,3.00,
"Gatorade Cool Blue flavor Thirst Quencher, 28 fl. oz. Bottle",Gatorade Cool Blue Flavor,kept_previous,Uncategorized,Non-perishable,0.0486,0.0000,3.00,
"Marketside Garlic & Herb Goat Cheese Log, 4 oz",Goat Cheese,\bgoat cheese\b,Dairy,Perishable,0.0486,0.0000,3.00,4 oz
"GoGo squeeZ Active Electrolyte No Sugar Added Strawberry Pineapple Orange Fruit Blend, 3.9 oz (10 Pack)",Applesauce Pouches,\bapplesauce\b|\bgogo squeez\b,Produce,Perishable,0.0486,0.0000,3.00,3.9 oz
Holiday Vanilla Flavored Stars & Trees Marshmallows - 8oz - Favorite Day™,Holiday Vanilla Flavored Stars,kept_previous,Uncategorized,Non-perishable,0.0486,0.0000,3.00,8oz
"Honey Stinger Organic Gluten-Free Energy Gel, Fruit Smoothie, 1.1 oz, 1 Count",Honey Stinger Energy Gel,kept_previous,Uncategorized,Non-perishable,0.0486,0.2308,3.00,1.1 oz
"Kodiak Protein-Packed Honey Oat Protein Granola Bag, Ready to Eat, 11 oz",Kodiak Protein Packed Honey,kept_previous,Uncategorized,Non-perishable,0.0486,0.2308,3.00,11 oz
LACROIX VTY,Lacroix Vty,kept_previous,Uncategorized,Non-perishable,0.0486,0.2308,3.00,
"Little Debbie Christmas Tree Brownies, 8 oz, 5 Count",Little Debbie Christmas Tree,kept_previous,Uncategorized,Non-perishable,0.0486,0.0000,3.00,8 oz
"Great Value Low-Moisture Part-Skim Mozzarella Shredded Cheese, 32 oz Bag",Low Moisture Part Skim,kept_previous,Dairy,Perishable,0.0486,0.0769,3.00,32 oz
"Great Value Mild Cheddar Deli Style Sliced Cheese, 8 oz Package, 12 Slices",Mild Cheddar Deli Style,kept_previous,Dairy,Perishable,0.0486,0.0000,3.00,8 oz
"Great Value Whole Milk Low-Moisture Mozzarella String Cheese Sticks, 12 oz, 12 Count",Milk,\bmilk\b,Dairy,Perishable,0.0486,0.1538,3.00,12 oz
"Oikos Pro 20g Protein, Vanilla Yogurt-Cultured Ultra-Filtered Milk&nbsp;Product Cups, 5.3 oz, 4 Count",Milk,\bmilk\b,Dairy,Perishable,0.0486,0.2308,3.00,20g
Vitamin D Whole Milk - 1gal - Good & Gather™,Milk,\bmilk\b,Dairy,Perishable,0.0486,0.0769,3.00,1gal
"Great Value Mozzarella String Cheese Sticks, 12 oz Bag, 12 Count",Mozzarella String Cheese Sticks,kept_previous,Dairy,Perishable,0.0486,0.0000,3.00,12 oz
"Nature Valley Protein Oats and Honey Granola, Family Size Pouch, 17 oz",Nature Valley Protein Oats,kept_previous,Uncategorized,Non-perishable,0.0486,0.2308,3.00,17 oz
"Fresh Navel Orange, Each",Navel Orange Each,kept_previous,Uncategorized,Non-perishable,0.0486,0.0000,3.00,
"Nutella Hazelnut Spread with Cocoa, Creamy Hazelnut Spread, Breakfast Favorite, 13 oz Jar",Nutella Hazelnut Spread With,kept_previous,Uncategorized,Non-perishable,0.0486,0.0000,3.00,13 oz
"Great Value Oats & Honey Granola, 11 oz",Oats Honey Granola,kept_previous,Uncategorized,Non-perishable,0.0486,0.0000,3.00,11 oz
"OREO Double Stuf Chocolate Sandwich Cookies, Party Size, 24.95 oz",Oreo Double Stuf Chocolate,kept_previous,Uncategorized,Non-perishable,0.0486,0.0000,3.00,24.95 oz
"Perdue Harvestland, Free Range, Fresh Boneless Chicken Breasts, 1.3-1.9 lb. Tray",Perdue Harvestland Free Range,kept_previous,Uncategorized,Perishable,0.0486,0.2308,3.00,1.9 lb
"Great Value Organic Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable)",Reduced Sodium Chicken Broth,kept_previous,Uncategorized,Perishable,0.0486,0.0000,3.00,32 oz
"Safety 1st Parent Grip Door Knob Covers, White, 3 pack, Toddler",Safety St Parent Grip,kept_previous,Uncategorized,Non-perishable,0.0486,0.0000,3.00,3 pack
"Sargento® Balanced Breaks® Monterey Jack & Mild Cheddar Cheese, WHEAT THINS® Minis",Sargento Balanced Breaks Monterey,kept_previous,Dairy,Perishable,0.0486,0.0000,3.00,
"Great Value Seasoned Croutons, Baked and Seasoned, 5 oz Resealable Bag",Seasoned Croutons Baked And,kept_previous,Uncategorized,Non-perishable,0.0486,0.0769,3.00,5 oz
"Great Value Sharp Cheddar Finely Shredded Cheese, 8 oz Bag",Sharp Cheddar Finely Shredded,kept_previous,Dairy,Perishable,0.0486,0.0000,3.00,8 oz
"Skinnypop Gluten Free Original Popcorn, 8.0 oz Family Size Bag, Skinny Pop, Popcorn Snacks",Skinnypop Gluten Free Popcorn,kept_previous,Pantry,Non-perishable,0.0486,0.2308,3.00,8.0 oz
"Great Value Small Shells, 16 oz",Small Shells,kept_previous,Uncategorized,Non-perishable,0.0486,0.2308,3.00,16 oz
"SUPERPRETZEL Bavarian Soft Pretzel Sticks, 24 oz, 10 Count (Frozen)",Superpretzel Bavarian Soft Pretzel,kept_previous,Uncategorized,Non-perishable,0.0486,0.2308,3.00,24 oz
"Swiffer Sweep + Mop Heavy Duty Wet Refills, Multi-Surface Floor Cleaner, Unstopables Fresh, 20 Count",Swiffer Sweep Mop Heavy,kept_previous,Uncategorized,Non-perishable,0.0486,0.0769,3.00,20 Count
Tazo Classic Chai Latte Black Tea Concentrate - 32 fl oz,Tazo Classic Chai Latte,kept_previous,Uncategorized,Non-perishable,0.0486,0.0769,3.00,32 fl oz
"Classico Tomato & Basil Pasta Sauce, 24 oz Jar",Tomatoes,\b(cherry )?tomato,Produce,Perishable,0.0486,0.0000,3.00,24 oz
TORRE ORIA,Torre Oria,kept_previous,Uncategorized,Non-perishable,0.0486,0.2308,3.00,
"Utz Honey Barbeque Potato Chips, Gluten-Free, Family Size, 7.75 oz Bag",Utz Honey Barbeque Potato,kept_previous,Snacks,Non-perishable,0.0486,0.0000,3.00,7.75 oz
Utz Ripples Sour Cream & Onion Flavored Potato Chips 7.75 oz Family Size Bag,Utz Ripples Sour Cream,kept_previous,Snacks,Non-perishable,0.0486,0.0000,3.00,7.75 oz
"Fresh Whole Brussels Sprouts, 1 lb Bag",Whole Brussels Sprouts Bag,kept_previous,Uncategorized,Non-perishable,0.0486,0.2308,3.00,1 lb
"Wonderful Pistachios No Shells Roasted & Salted Nuts, 12 Ounce Bag",Wonderful Pistachios No Shells,kept_previous,Uncategorized,Non-perishable,0.0486,0.2308,3.00,12 Ounce
"Activia Probiotic Dailies Strawberry and Blueberry Low Fat Probiotic Yogurt Drinks, Helps Support Gut Health, 3.1 fl oz, 8 Count",Activia Probiotic Dailies Strawberry,kept_previous,Dairy,Perishable,0.0324,0.0000,2.00,3.1 fl oz
"Great Value All-Purpose Enriched Flour, 2 lb Bag",All Purpose Enriched Flour,kept_previous,Uncategorized,Non-perishable,0.0324,0.0000,2.00,2 lb
"Fresh Organic Honeycrisp Apples, 2 lb Pouch",Apples,\b(envy|honeycrisp|cosmic crisp|granny smith)\b.*\bapple,Produce,Perishable,0.0324,0.1538,2.00,2 lb
"Barilla Classic Non-GMO, Kosher Certified Farfalle Pasta, 16 oz",Barilla Classic Non Gmo,kept_previous,Uncategorized,Non-perishable,0.0324,0.0000,2.00,16 oz
"Great Value Organic Bay Leaves, 0.15 oz",Bay Leaves,kept_previous,Uncategorized,Non-perishable,0.0324,0.0769,2.00,0.15 oz
"BelGioioso Fresh Mozzarella Log, Pre-Sliced Specialty Cheese, 16 oz Refrigerated Plastic Packet",Belgioioso Mozzarella Log Pre,kept_previous,Dairy,Perishable,0.0324,0.1538,2.00,16 oz
"Betty Crocker Snickerdoodle Cookies, Cookie Baking Mix, 17.9 oz",Betty Crocker Snickerdoodle Cookies,kept_previous,Uncategorized,Non-perishable,0.0324,0.0000,2.00,17.9 oz
BFGUMMYBEARS,Bfgummybears,kept_previous,Uncategorized,Non-perishable,0.0324,0.1538,2.00,
"Birds Eye Steamfresh Mixed Vegetables, Frozen Vegetables, 10 oz. Bag",Birds Eye Steamfresh Mixed,kept_previous,Uncategorized,Non-perishable,0.0324,0.0000,2.00,10 oz
Low Sodium Black Beans - 15.5oz - Good & Gather™,Black Beans,\bblack beans\b,Pantry,Non-perishable,0.0324,0.1538,2.00,15.5oz
"Bluey Toddler Boys Holiday Thermal Henley Shirt with Long Sleeves, Sizes 12M-5T",Bluey Toddler Boys Holiday,kept_previous,Uncategorized,Non-perishable,0.0324,0.0000,2.00,
"Thomas' Cinnamon Raisin Swirl Bread, 16 oz, Cinnamon Bread, Bag",Bread,\bbread\b|\bloaf\b,Bakery,Non-perishable,0.0324,0.0769,2.00,16 oz
Cabot Creamery Colby Jack Cheddar Cheese Block 8 oz (Refrigerated),Cabot Creamery Colby Jack,kept_previous,Dairy,Perishable,0.0324,0.1538,2.00,8 oz
"Great Value Canned Pineapple Tidbits, 20 oz",Canned Pineapple,\bpineapple tidbits\b|\bcrushed pineapple\b,Produce,Perishable,0.0324,0.1538,2.00,20 oz
"Cantu Avocado Sulfate Free Conditioner, 13.5 oz",Cantu Avocado Sulfate Free,kept_previous,Uncategorized,Non-perishable,0.0324,0.0000,2.00,13.5 oz
"Capri Sun Summer Blast Passion Fruit Mango Flavored Juice Drink Blend, from Concentrate with Other Natural Flavor, 10 ct Box, 6 fl oz Pouches, Liquids",Capri Sun Summer Blast,kept_previous,Uncategorized,Non-perishable,0.0324,0.0000,2.00,10 ct
Chopped Caesar Salad Kit - 11.15oz - Good & Gather™,Chopped Caesar Salad Kit,kept_previous,Uncategorized,Non-perishable,0.0324,0.1538,2.00,11.15oz
"Chuck Roast, Choice Angus Beef, Tray, Fresh, 2.25 - 3.38 lb",Chuck Roast Choice Angus,kept_previous,Uncategorized,Perishable,0.0324,0.1538,2.00,3.38 lb
"Classico Four Cheese Spaghetti Pasta Sauce Value Size, 44 oz Jar",Classico Four Cheese Spaghetti,kept_previous,Dairy,Perishable,0.0324,0.0000,2.00,44 oz
"Great Value Confectioners Powdered Sugar, 32 oz",Confectioners Powdered Sugar,kept_previous,Uncategorized,Non-perishable,0.0324,0.1538,2.00,32 oz
"Cool Whip Original Whipped Topping, 8 oz Tub",Cool Whip Whipped Topping,kept_previous,Uncategorized,Non-perishable,0.0324,0.1538,2.00,8 oz
"Great Value Canned Cream Style Sweet Corn, 14.75 oz Aluminum Can",Corn,\bwhole kernel corn\b|\bsweet corn\b|\bcorn\b,Pantry,Non-perishable,0.0324,0.0000,2.00,14.75 oz
Santitas White Corn Tortilla Chips - 11oz,Corn,\bwhole kernel corn\b|\bsweet corn\b|\bcorn\b,Pantry,Non-perishable,0.0324,0.0000,2.00,11oz
Cranberry Jalapeno Dip - 10oz - Good & Gather™,Cranberry Jalapeno Dip Good,kept_previous,Uncategorized,Non-perishable,0.0324,0.1538,2.00,10oz
"Great Value Original Whipped Cream Cheese Spread, 8 oz Cup",Cream Cheese,\bwhipped cream cheese\b|\bcream cheese\b,Dairy,Perishable,0.0324,0.0000,2.00,8 oz
"Crest Pro‑Health Advanced Fluoride Mouthwash, Alcohol‑Free Mouth Rinse for Whitening, Energizing Mint, 32 fl oz",Crest Pro Health Advanced,kept_previous,Uncategorized,Non-perishable,0.0324,0.1538,2.00,32 fl oz
Crosswind All Season UHP All Season 205/45R16 87W XL Passenger Tire,Crosswind All Season Uhp,kept_previous,Uncategorized,Non-perishable,0.0324,0.0000,2.00,
"Dawn Platinum Powerwash Dish Spray, Dish Soap Refill - Fresh - 16oz: Multi-Surface",Dawn Platinum Powerwash Dish,kept_previous,Uncategorized,Non-perishable,0.0324,0.0000,2.00,16oz
"Deer Park Spring Water - 32 Pack/16.9 FL Oz, Plastic Bottles",Deer Park Spring Water,kept_previous,Uncategorized,Non-perishable,0.0324,0.0000,2.00,32 Pack
"Dr Teal's Epsom Salt Magnesium Soak, Relax & Relief with Eucalyptus & Spearmint, 3 lbs",Dr Teal S Epsom,kept_previous,Uncategorized,Non-perishable,0.0324,0.1538,2.00,3 lbs
"Dr Teal's Pure Epsom Salt Soak, Therapeutic, Fragrance Free, 6 lbs",Dr Teal S Pure,kept_previous,Uncategorized,Non-perishable,0.0324,0.1538,2.00,6 lbs
"Great Value Dried Philippine Mango, 6 oz",Dried Philippine Mango,kept_previous,Uncategorized,Non-perishable,0.0324,0.1538,2.00,6 oz
"Great Value Organic Extra Virgin Olive Oil, 17 fl oz",Extra Virgin Olive Oil,kept_previous,Uncategorized,Non-perishable,0.0324,0.0769,2.00,17 fl oz
"EZ Foil Disposable Casserole Pans, 11.75 x 9.25 in., 2 Count",Ez Foil Disposable Casserole,kept_previous,Uncategorized,Non-perishable,0.0324,0.0000,2.00,11.75 x 9
"Great Value Fettuccine, 16 oz",Fettuccine,kept_previous,Uncategorized,Non-perishable,0.0324,0.0000,2.00,16 oz
"Fluffernutter Marshmallow Fluff, 7.5 oz",Fluffernutter Marshmallow Fluff,kept_previous,Uncategorized,Non-perishable,0.0324,0.0769,2.00,7.5 oz
Forceum HENA UHP All Season 205/45R16 87W Passenger Tire,Forceum Hena Uhp All,kept_previous,Uncategorized,Non-perishable,0.0324,0.0000,2.00,
"Frank's RedHot Kosher Original Cayenne Pepper Hot Sauce, 23.0 fl oz Bottle",Frank S Redhot Cayenne,kept_previous,Uncategorized,Non-perishable,0.0324,0.1538,2.00,23.0 fl oz
"French's Non-GMO Kosher Original Crispy Fried Onions, 6.0 oz Can",French S Non Gmo,kept_previous,Uncategorized,Non-perishable,0.0324,0.0000,2.00,6.0 oz
"Garlic Bulb Fresh Whole, Each",Garlic Bulb Whole Each,kept_previous,Uncategorized,Non-perishable,0.0324,0.0769,2.00,
"Gatorade Sports Drink, Fruit Punch/Glacier Cherry/Cool Blue Variety Pack, 12 fl oz, 18 Count Bottles",Gatorade Sports Drink Fruit,kept_previous,Uncategorized,Non-perishable,0.0324,0.1538,2.00,12 fl oz
"Gatorade Thirst Quencher Cool Blue Sports Drinks, 12 fl oz, 12 Count Bottles",Gatorade Thirst Quencher Cool,kept_previous,Uncategorized,Non-perishable,0.0324,0.0000,2.00,12 fl oz
"Genoa Salami, Pepper Jack Cheese, Dried Mango, Dark Chocolate Chunks - 3oz Good & Gather™",Genoa Salami Pepper Jack,kept_previous,Dairy,Perishable,0.0324,0.1538,2.00,3oz
Montchevre® Original Crumbled Refrigerated Goat Cheese Plastic Cup 4 oz,Goat Cheese,\bgoat cheese\b,Dairy,Perishable,0.0324,0.1538,2.00,4 oz
"Vermont Creamery Blueberry, Lemon & Thyme Goat Cheese Log, 4 oz",Goat Cheese,\bgoat cheese\b,Dairy,Perishable,0.0324,0.0769,2.00,4 oz
"Goya Artichoke Hearts, 6 oz",Goya Artichoke Hearts,kept_previous,Uncategorized,Non-perishable,0.0324,0.1538,2.00,6 oz
"Great Value Heavy Whipping Cream, 16 oz Carton",Heavy Whipping Cream Carton,kept_previous,Uncategorized,Non-perishable,0.0324,0.0769,2.00,16 oz
"Heinz HomeStyle Beef Gravy, 12 oz Jar",Heinz Homestyle Beef Gravy,kept_previous,Uncategorized,Perishable,0.0324,0.0000,2.00,12 oz
"Heinz Sweet Relish, 12.7 oz Bottle",Heinz Sweet Relish Bottle,kept_previous,Uncategorized,Non-perishable,0.0324,0.0000,2.00,12.7 oz
"Heinz Sweet Relish, 26 oz Bottle",Heinz Sweet Relish Bottle,kept_previous,Uncategorized,Non-perishable,0.0324,0.0000,2.00,26 oz
"Hidden Valley Original Ranch Dipping Sauce Salad Dressing and Topping, 20 fl oz Easy Squeeze Bottle",Hidden Valley Ranch Dipping,kept_previous,Uncategorized,Non-perishable,0.0324,0.1538,2.00,20 fl oz
"Hillshire Snacking Protein Genoa Salami, White Cheddar Cheese, Toasted Rounds Meat Snack Kit, 2.76 oz (Refrigerated)",Hillshire Snacking Protein Genoa,kept_previous,Dairy,Perishable,0.0324,0.0000,2.00,2.76 oz
"Honest Kids Organic Super Fruit Punch Juice, 6.75 fl oz, 8 Pouches",Honest Kids Super Fruit,kept_previous,Uncategorized,Non-perishable,0.0324,0.0000,2.00,6.75 fl oz
"Ivory Bar Soap, Original Scent, All Skin Types, 4 Count, 4 Ounces Each",Ivory Bar Soap Scent,kept_previous,Uncategorized,Non-perishable,0.0324,0.0000,2.00,4 Count
"Ken's Steak House® Creamy Caesar Salad Dressing, Topping & Spread 24 fl oz",Ken S Steak House,kept_previous,Uncategorized,Non-perishable,0.0324,0.0000,2.00,24 fl oz
"KIND Gluten Free Peanut Butter Dark Chocolate Snack Bars, Value Pack, 1.4 oz, 12 Count, Cardboard Box",Kind Gluten Free Peanut,kept_previous,Uncategorized,Non-perishable,0.0324,0.0000,2.00,1.4 oz
Kraft Mexican Style Four Cheese Finely Shredded Natural Cheese 8oz Bag,Kraft Mexican Style Four,kept_previous,Dairy,Perishable,0.0324,0.0000,2.00,8oz
