item,total_qty,weeks_observed,units_per_week_all,units_per_week_13w,occurrences,package_volume
"Nature's Own 100% Whole Wheat, Whole Wheat Sandwich Bread, 20 oz Loaf, Shelf-Stable",15.00,61.71,0.2431,0.1538,12,20 oz
"Great Value Original Sour Cream, 24 oz Tub",15.00,61.71,0.2431,0.3846,14,24 oz
"TPH BY TARAJI Hustle & Co Hydrating Co Wash Cleansing Hair Conditioner | Coily & Curly Hair | All Genders, 12 oz.",14.00,61.71,0.2269,0.0769,12,12 oz
"Pepperidge Farm Raisin Cinnamon Swirl Breakfast Bread, 16 oz Loaf",14.00,61.71,0.2269,0.4615,13,16 oz
"Activia Probiotic Dailies Strawberry Low Fat Probiotic Yogurt Drinks, Helps Support Gut Health, 3.1 fl oz, 8 Count",14.00,61.71,0.2269,0.0000,9,3.1 fl oz
"Fritos Regular Corn Chips, 9.25 oz Single Bag",14.00,61.71,0.2269,0.5385,9,9.25 oz
"Fresh Lime, Each",13.00,61.71,0.2106,0.9231,5,
"Fresh Whole Brown Mushrooms, 8 oz",13.00,61.71,0.2106,0.3846,9,8 oz
"DiGiorno Classic Crust Cheese Pizza, 19.1 oz (Frozen)",13.00,61.71,0.2106,0.0000,7,19.1 oz
"Fritos Scoops! Corn Snacks, Party Size, 15.5 oz Bag",12.00,61.71,0.1944,0.0000,6,15.5 oz
"Kerrygold Grass-Fed Pure Irish Salted Butter Sticks, 8 oz, 2 Sticks",12.00,61.71,0.1944,0.3846,11,8 oz
"TPH BY TARAJI Make it Rain Hydrating Deep Conditioner With Aloe Vera, Avocado Oil, & Moringa Oil For All Hair Types | Detangler For Curly, Coily & Wavy Hair | Color Safe & Sulfate Free, 12 oz.",12.00,61.71,0.1944,0.0769,11,12 oz
"Smithfield Hickory Smoked Bacon, 16 oz, Gluten-Free, No MSG",12.00,61.71,0.1944,0.4615,11,16 oz
"HERSHEY’S a2 Milk® Chocolate 2% Reduced Fat Milk Boxes, 8 oz, 12-Pack",12.00,61.71,0.1944,0.0000,12,8 oz
"Organic Fresh Whole Carrots, 2 lb Bag",12.00,61.71,0.1944,0.0769,12,2 lb
"Pillsbury Grands! Southern Homestyle Buttermilk Biscuits, 2 Pack, 16 Biscuits, 32.6 oz",12.00,61.71,0.1944,0.0769,12,2 Pack
La Banderita Yellow Corn Tortilla 30 Count,11.00,61.71,0.1782,0.1538,7,30 Count
"Heinz Chili Sauce, 12 oz Bottle",11.00,61.71,0.1782,0.0000,8,12 oz
Fresh Whole Russet Potatoes 5 lb Bag,11.00,61.71,0.1782,0.3077,10,5 lb
"Great Value No Stir Creamy Natural Peanut Butter Spread, 40 oz",11.00,61.71,0.1782,0.3846,10,40 oz
"Gordo's Original Queso Cheese Dip, 16 oz, Refrigerated Dip",11.00,61.71,0.1782,0.3846,11,16 oz
"Honey Nut Cheerios, Heart Healthy Cereal, Affirmations Box, Mega Size, 27.2 oz",11.00,61.71,0.1782,0.3846,10,27.2 oz
"Fresh Honeycrisp Apples, 3 lb Bag",10.00,61.71,0.1620,0.0000,10,3 lb
"Old El Paso Mild Red Enchilada Sauce, Meal Prep, 10 oz",10.00,61.71,0.1620,0.3077,3,10 oz
"Great Value Mixed Vegetables, 12 oz Steamable Bag (Frozen)",10.00,61.71,0.1620,0.1538,5,12 oz
"Scott 1000 Toilet Paper, 12 Rolls, 1,000 Sheets per Roll",10.00,61.71,0.1620,0.2308,10,
"Pace Chunky Medium Salsa, 64 oz Bottle",10.00,61.71,0.1620,0.2308,10,64 oz
Cabot Creamery Cabot Whole Milk Plain Greek Yogurt 2 lb (Refrigerated  Tub),10.00,61.71,0.1620,0.2308,10,2 lb
"Blue Diamond Almonds, Lightly Salted Low Sodium Snack Nuts For Gluten Free Snacking, 14 oz.",10.00,61.71,0.1620,0.0769,9,14 oz
"Chobani 20G Protein Low-Fat Greek Yogurt Drink, Strawberries and Cream 10 fl oz Bottle, 4 Pack",10.00,61.71,0.1620,0.1538,10,20G
