canonical_item,units_per_week_all,units_per_week_13w,total_qty,raw_item_count,category_guess,perishable_guess
Columbus Peppered Salami Sliced,0.0162,0.0000,1.00,1,Uncategorized,Perishable
Combat Max Large Roach,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Concord Foods Lime Juice,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Convenience Kits International Women,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Cookies Cream Ice Cream,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Core Power Elite Vanilla,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Cranberries Bag,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Creamy Peanut Butter Good,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Crest Toothpaste D White,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Daisy Pure And Natural,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Dark Green Sanding Sugar,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Dawn Powerwash Spray Dish,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Del Monte Cut Green,0.0162,0.0000,1.00,1,Pantry,Non-perishable
Disposable Plastic White Forks,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Dixie Disposable Paper Plates,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Dixie To Go Disposable,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Dove Advanced Care Antiperspirant,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Dr Scholl S Blister,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Dr Teal S Kids,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Drumstick Crushed It Cookies,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Dry Roasted Peanuts,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Duke S Mayonnaise Light,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Dum Dums Valentines Cards,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Earthbound Farm Vegetable Tray,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Easter Bunny Multi Color,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Emergen C Immune Gummies,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Equate Isopropyl Alcohol Antiseptic,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Extra Creamy Dairy Whipped,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Extra Sharp Cheddar Shredded,0.0162,0.0000,1.00,1,Dairy,Perishable
Farberware Professional Old Fashion,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Farmhouse Eggs Cage Free,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Filtrete X X Hvac,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Fram Ultra Synthetic Oil,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Frozen Broccoli Cuts Steamable,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Frozen Broccoli Florets Bag,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Frozen Sunbutter No Crust,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Gatorade Gator Skin Bottle,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Gatorade Sports Drinks Grape,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Gillette Satin Care Ultra,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Glad Forceflex Maxstrength Tall,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Good Spirits A Novel,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Goodnites Boys Disposable Nighttime,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Goody Ouchless Hair Elastics,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Goody Ouchless Mini Poly,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Goody Sport Active Elastic,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Grade A Large Eggs,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Ground Ginger,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Halloween Color Your Own,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Hard Boiled Eggs,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Hardwood Smoked Classic Sliced,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Hardwood Smoked Thick Cut,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Hass Avocados Good Gather,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Heinz Homestyle Turkey Gravy,0.0162,0.0000,1.00,1,Meat,Non-perishable
Hershey S Caramel Flavored,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Hershey S Chocolate Syrup,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Holiday Hot Cocoa Whipped,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Honest Kids Appley Ever,0.0162,0.0000,1.00,1,Produce,Perishable
Honey Maid Graham Crackers,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Honey Plastic Bear,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Horizon Half And Half,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Horizon Real Dairy Homestyle,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Hot Honey Cashews Good,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Hyper Tough Amp In,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Ice Breakers Ice Cubes,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Individually Plastic Wrapped Singles,0.0162,0.0000,1.00,1,Dairy,Perishable
Ink Cartridges Compatible For,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Jell O French Vanilla,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Jimmy Dean Regular Pork,0.0162,0.0000,1.00,1,Meat,Perishable
Johnsonville Breakfast Sausage Links,0.0162,0.0000,1.00,1,Meat,Perishable
Just Bare Lightly Breaded,0.0162,0.0769,1.00,1,Bakery,Perishable
Keebler Ready Crust Inch,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Keebler Waffle Ice Cream,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Kellogg S Graham Cracker,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Kellogg S Rice Krispies,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Kettle Brand Party Size,0.0162,0.0769,1.00,1,Snacks,Non-perishable
Kettle Brand Sea Salt,0.0162,0.0769,1.00,1,Snacks,Non-perishable
Kinder S Buttery Steakhouse,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Kinder S Sunday Pot,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Kraft Parmesan Finely Shredded,0.0162,0.0769,1.00,1,Dairy,Perishable
Kraft String Cheese Mozzarella,0.0162,0.0000,1.00,1,Dairy,Perishable
Ks Bags,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Ktaxon Twin Size Bed,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
L A Looks Extreme,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
La Chona Cotija Mexican,0.0162,0.0769,1.00,1,Dairy,Perishable
Land O Lakes Unsalted,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Lemon Each,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Light Brown Sugar,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Lipton Recipe Secrets Onion,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Little Debbie Big Pack,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Logitech Wireless Presenter R,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Lucas Oil Products Interior,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Lunchables Ham And Cheddar,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Lunchables Turkey Cheddar Value,0.0162,0.0000,1.00,1,Meat,Non-perishable
Mainstays Ply Manual Can,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Maple Grove Farms Pure,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Marshmallow Whipped Dairy Topping,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Marshmallows Bag,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Mccormick Ground Cumin Bottle,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Medium Egg Noodles,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Melitta Cup White Basket,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Meow Mix Gravy Bursts,0.0162,0.0000,1.00,1,Uncategorized,Perishable
Method Curl Defining Co,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Method Moisturizing Conditioner Simply,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Method Repairing Shampoo Island,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Midol Complete Menstrual Pain,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Mobil Advanced Full Synthetic,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Monster Microfiber Towel With,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Morton Iodized Salt,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Mr Clean Magic Eraser,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Mucinex Children S Night,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Mucinex Children S Stuffy,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Mucinex Fast Max Cold,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Mucinex Fast Max Kickstart,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Mucinex Fast Max Severe,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Mucinex Nightshift Sinus Medicine,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Mueller S Sodium Free,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Native Coconut Vanilla Body,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Native Limited Edition Vanilla,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Native Moisturizing Conditioner Coconut,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Nature S Miracle Dog,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Nestle Toll House Premier,0.0162,0.0769,1.00,1,Snacks,Non-perishable
Ocean Spray Cranberry Juice,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Ocean Spray Whole Cranberry,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Oikos Protein Shake Shelf,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Olay Firming Body Lotion,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Olay Nourishing Body Wash,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Old El Paso Stand,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Ophanie Adhesive Shower Caddy,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Oral B Floss Glide,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Oregon Chai Chai Concentrate,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Ortho Groundclear Poison Ivy,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Parent S Choice Compartment,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Parmesan Baked Cheese Crisp,0.0162,0.0769,1.00,1,Dairy,Perishable
Parmesan Cheese Crisps With,0.0162,0.0769,1.00,1,Dairy,Perishable
Parmesan Finely Shredded Cheese,0.0162,0.0769,1.00,1,Dairy,Perishable
Pen Gear Economy White,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Pen Gear Letter Size,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Pen Gear No Size,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Pen Gear Push Pins,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Pepperidge Farm Sesame Topped,0.0162,0.0000,1.00,1,Bakery,Non-perishable
Peppermint Whipped Dairy Topping,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Planet Oat Oatmilk Dairy,0.0162,0.0769,1.00,1,Dairy,Perishable
Pomegranate Juice,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Pompeian Red Wine Vinegar,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Popcorners Spicy Queso,0.0162,0.0769,1.00,1,Pantry,Non-perishable
Popcorners White Cheddar,0.0162,0.0000,1.00,1,Pantry,Non-perishable
Premium Soup Oyster Crackers,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Produce Whole Green Cilantro,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Pure Granulated Sugar,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Pure Pumpkin,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Purina One Plus Sensitive,0.0162,0.0000,1.00,1,Meat,Non-perishable
Purina One True Instinct,0.0162,0.0000,1.00,1,Meat,Non-perishable
Queso Mama White Queso,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Red Lobster Cheddar Bay,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Ricotta Cheese Tub,0.0162,0.0769,1.00,1,Dairy,Perishable
Ritz Peanut Butter Sandwich,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Roasted Salted Pistachios Resealable,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Rolo Unwrapped Rich Chocolate,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Russell Athletic Boys Runner,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Safety St Custom Fit,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Salt Free Garlic Herb,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Sargento Balanced Breaks Cheese,0.0162,0.0000,1.00,1,Dairy,Perishable
Schick Hydro Silk Ultra,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Scott Septic Safe Ply,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Seal Double Zipper Sandwich,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Secret Aluminum Free Women,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Semi Sweet Chocolate Baking,0.0162,0.0000,1.00,1,Snacks,Non-perishable
Sheamoisture Antiperspirant Deodorant Stick,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Sheamoisture Even Tone Antiperspirant,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Sheamoisture Whole Body Deodorant,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Shredded Mexican Style Cheese,0.0162,0.0000,1.00,1,Dairy,Perishable
Shredded Sharp Cheddar Cheese,0.0162,0.0000,1.00,1,Dairy,Perishable
Sleek Scalp Massage Brush,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Small Hass Avocados Bag,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Smash Kitchen Classic Extra,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Smucker S Simply Fruit,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Snack Factory Garlic Parmesan,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Socozy Kid S Swim,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Soundcore Aeroclip Open Ear,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Spears Dill Pickle Pack,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Starbucks Peppermint Hot Cocoa,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Sterilite Large Latching Storage,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Sterilite Quart Clear Storage,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Stouffer S Classic Lasagna,0.0162,0.0769,1.00,1,Uncategorized,Perishable
Stouffer S Macaroni Cheese,0.0162,0.0000,1.00,1,Dairy,Perishable
Stove Top Stuffing Mix,0.0162,0.0000,1.00,1,Meat,Non-perishable
Super Tech Cabin Air,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Sweet Peas Frozen Steamable,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Swiffer Dusters Multi Surface,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Swiffer Heavy Duty Mop,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Swiffer Sweep Mop Wet,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Tazo Chai Pumpkin Spice,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Tazo Green Ginger Tea,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Tazo Passion Herbal Tea,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Tazo Tea Latte Chai,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Tazo Wild Sweet Orange,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Tide Free Gentle Unscented,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Toddler Boys Fleece Zip,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Toddler Boys Long Sleeve,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Tph By Taraji Cooling,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Tph By Taraji Ride,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Traditional Medicinals Nighty Night,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Traditional Medicinals Turmeric With,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Trolli Sour Brite Crawlers,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Turkey Hill Choco Mint,0.0162,0.0000,1.00,1,Meat,Non-perishable
Turkey Hill Chocolate Chip,0.0162,0.0000,1.00,1,Meat,Non-perishable
Tylenol Cold Flu Severe,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Uncured Calabrese Salami Prosciutto,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Utz Braided Twists Honey,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Vanilla Bean Flavored Ice,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Vegetable Oil Heart Healthy,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Venus Extra Smooth Sensitive,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Vicks Dayquil Nyquil Severe,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Vicks Vapo Shower Tablets,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Vicks Warm Steam Vaporizer,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Waffles Cones,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Walmart New Tire Install,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Weiman Granite Cleaner Polish,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Welch S Natural Concord,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Welch S Natural Strawberry,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Welch S Non Alcoholic,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Wet Brush Go Green,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Wet Brush Mini Detangler,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Whole Red Onion Each,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Whole Sweet Onion Each,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Wilton Mini Daisy Royal,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
Yellow Baby Potatoes Bag,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Yellow Bell Pepper Each,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Yogi Tea Elderberry Lemon,0.0162,0.0769,1.00,1,Uncategorized,Non-perishable
Ziploc Brand Sandwich Bags,0.0162,0.0000,1.00,1,Uncategorized,Non-perishable
