canonical_item,units_per_week_all,units_per_week_13w,total_qty,raw_item_count,category_guess,perishable_guess
All Natural Ground Chicken,0.1134,0.2308,7.00,1,Uncategorized,Perishable
Cholula Green Pepper Hot,0.1134,0.1538,7.00,1,Uncategorized,Non-perishable
Concord Grape Jelly,0.1134,0.0000,7.00,1,Uncategorized,Non-perishable
Crunchmaster Multi Grain Sea,0.1134,0.0000,7.00,1,Uncategorized,Non-perishable
Crunchmaster Multi Seed Crisps,0.1134,0.0000,7.00,1,Uncategorized,Non-perishable
Digiorno Stuffed Crust Cheese,0.1134,0.0000,7.00,1,Dairy,Perishable
Frozen Broccoli Florets Steamable,0.1134,0.0000,7.00,1,Uncategorized,Non-perishable
Mccormick Less Sodium Taco,0.1134,0.0000,7.00,1,Uncategorized,Non-perishable
Mild Cheddar Finely Shredded,0.1134,0.0000,7.00,1,Dairy,Perishable
Scott Paper Towels Choose,0.1134,0.3077,7.00,1,Uncategorized,Non-perishable
Wholly Guacamole Classic Bowl,0.1134,0.1538,7.00,1,Uncategorized,Non-perishable
Heinz Homestyle Beef Gravy,0.1134,0.0000,7.00,2,Uncategorized,Perishable
Swanson White Premium Chunk,0.1134,0.5384,7.00,2,Uncategorized,Perishable
Beef Broth Carton,0.0972,0.3846,6.00,1,Uncategorized,Perishable
Campbell S Condensed Cream,0.0972,0.0000,6.00,1,Uncategorized,Non-perishable
Fully Cooked Turkey Meatballs,0.0972,0.0769,6.00,1,Meat,Perishable
Jasmine Rice,0.0972,0.0769,6.00,1,Uncategorized,Non-perishable
Planters Deluxe Honey Roasted,0.0972,0.4615,6.00,1,Uncategorized,Non-perishable
Plum Organics Teensy Snacks,0.0972,0.0000,6.00,1,Uncategorized,Non-perishable
Premium Saltine Crackers Lunch,0.0972,0.1538,6.00,1,Uncategorized,Non-perishable
Red Seedless Grapes Bag,0.0972,0.1538,6.00,1,Uncategorized,Non-perishable
Sabra Classic Hummus Dip,0.0972,0.0000,6.00,1,Uncategorized,Non-perishable
Siete Mild Taco Seasoning,0.0972,0.3846,6.00,2,Uncategorized,Non-perishable
Kraft Mexican Style Four,0.0972,0.0769,6.00,2,Dairy,Perishable
Mainstays X Picture Frame,0.0972,0.0000,6.00,3,Uncategorized,Non-perishable
Ore Ida Extra Crispy,0.0972,0.0000,6.00,2,Uncategorized,Non-perishable
Bowties,0.0810,0.0000,5.00,1,Uncategorized,Non-perishable
Crystal Geyser Alpine Spring,0.0810,0.1538,5.00,1,Uncategorized,Non-perishable
Jumbo Shell,0.0810,0.0000,5.00,1,Uncategorized,Non-perishable
Kodiak Protein Packed Power,0.0810,0.1538,5.00,1,Dairy,Perishable
Pillsbury Orange Rolls With,0.0810,0.1538,5.00,1,Uncategorized,Non-perishable
Popcorners White Cheddar Sharing,0.0810,0.1538,5.00,1,Pantry,Non-perishable
Smucker S Concord Grape,0.0810,0.0000,5.00,1,Uncategorized,Non-perishable
So Good So You,0.0810,0.3077,5.00,1,Uncategorized,Non-perishable
Soup Oyster Crackers,0.0810,0.0769,5.00,1,Uncategorized,Non-perishable
Plum Organics Jammy Sammy,0.0810,0.0000,5.00,2,Uncategorized,Non-perishable
Dr Teal S Epsom,0.0810,0.3076,5.00,4,Uncategorized,Non-perishable
Alexia Sweet Potato Fries,0.0648,0.0000,4.00,1,Uncategorized,Non-perishable
Applegate Natural Uncured Genoa,0.0648,0.0000,4.00,1,Produce,Perishable
Belgioioso Freshly Shredded Parmesan,0.0648,0.2308,4.00,1,Dairy,Perishable
Classic Alfredo Pasta Sauce,0.0648,0.0000,4.00,1,Uncategorized,Non-perishable
Classico Four Cheese Alfredo,0.0648,0.0000,4.00,1,Dairy,Perishable
Classico Signature Recipes Traditional,0.0648,0.2308,4.00,1,Uncategorized,Non-perishable
Crest Toothpaste Dwhite Advanced,0.0648,0.0000,4.00,1,Uncategorized,Non-perishable
Crispy And Salty Pretzel,0.0648,0.1538,4.00,1,Uncategorized,Non-perishable
Dial Antibacterial Defense Lavender,0.0648,0.1538,4.00,1,Uncategorized,Non-perishable
Eggland S Best Large,0.0648,0.3077,4.00,1,Uncategorized,Non-perishable
General Mills Cheerios Honey,0.0648,0.1538,4.00,1,Uncategorized,Non-perishable
Manwich Sloppy Joe Sauce,0.0648,0.0000,4.00,1,Uncategorized,Non-perishable
Martin S Hoagie Rolls,0.0648,0.0000,4.00,1,Uncategorized,Non-perishable
Nestle Toll House Semi,0.0648,0.3077,4.00,1,Snacks,Non-perishable
Ol Mexican Foods Xtreme,0.0648,0.0000,4.00,1,Uncategorized,Non-perishable
Old El Paso Hot,0.0648,0.0000,4.00,1,Uncategorized,Non-perishable
Pillsbury Crescent Rolls Dough,0.0648,0.1538,4.00,1,Uncategorized,Non-perishable
Pillsbury Grands Southern Style,0.0648,0.3077,4.00,1,Uncategorized,Non-perishable
