raw_item,canonical_item,category_guess,perishable_guess,base_unit,pack_count,size_amount,size_unit,total_qty_purchased,normalized_units_total,units_per_week_all_raw,units_per_week_13w_raw,package_volume_hint
"Core Power Protein Shake with 26g Protein by fairlife Milk, Chocolate, 14 fl oz",Milk,Dairy,Perishable,fl oz,1,14,fl oz,5.00,5.00,0.0810,0.2308,26g
"Oikos Pro 23g Protein, Vanilla Yogurt-Cultured Ultra-Filtered Milk Product Tub, 32 oz​",Milk,Dairy,Perishable,fl oz,1,32,oz,5.00,5.00,0.0810,0.0000,23g
"Pillsbury Orange Rolls with Cinnabon Cinnamon and Orange Icing, 8 Count, 13.9 oz",Pillsbury Orange Rolls With,Uncategorized,Non-perishable,each,8,13.9,oz,5.00,40.00,0.0810,0.1538,8 Count
Popcorners White Cheddar Sharing Size - 7oz,Popcorners White Cheddar Sharing,Pantry,Non-perishable,oz,1,7,oz,5.00,5.00,0.0810,0.1538,7oz
"Siete Mild Taco Seasoning, Mixed Spice, 1.31 oz. Packet",Siete Mild Taco Seasoning,Uncategorized,Non-perishable,each,1,1.31,oz,5.00,5.00,0.0810,0.3077,1.31 oz
"Smucker's Concord Grape Jelly, 18 oz",Smucker S Concord Grape,Uncategorized,Non-perishable,each,1,18,oz,5.00,5.00,0.0810,0.0000,18 oz
So Good So You Energy Passionfruit Organic Probiotic Shot - 1.7 fl oz,So Good So You,Uncategorized,Non-perishable,each,1,1.7,fl oz,5.00,5.00,0.0810,0.3077,1.7 fl oz
"Great Value Soup & Oyster Crackers, 9 oz",Soup Oyster Crackers,Uncategorized,Non-perishable,each,1,9,oz,5.00,5.00,0.0810,0.0769,9 oz
"Swanson White Premium Chunk Chicken Breast with Rib Meat in Water, 12.5 oz. (Pack of 2)",Swanson White Premium Chunk,Uncategorized,Perishable,fl oz,1,12.5,oz,5.00,5.00,0.0810,0.3846,12.5 oz
"Fresh Cherubs Grape Tomatoes, 10 oz Package",Tomatoes,Produce,Perishable,each,1,10,oz,5.00,5.00,0.0810,0.0769,10 oz
"Great Value Diced Tomatoes in Tomato Juice, 14.5 oz Can",Tomatoes,Produce,Perishable,each,1,14.5,oz,5.00,5.00,0.0810,0.0769,14.5 oz
"Great Value Original Diced Tomatoes with Green Chilies, 10 oz",Tomatoes,Produce,Perishable,each,1,10,oz,5.00,5.00,0.0810,0.2308,10 oz
"Hillshire Farm Ultra Thin Oven Roasted Turkey Breast Lunchmeat, 16 oz Plastic Tub, Refrigerated",Turkey Lunchmeat,Meat,Perishable,each,1,16,oz,5.00,5.00,0.0810,0.0000,16 oz
"Fresh Whole Carrots, 1 lb Bag",Whole Carrots Bag,Uncategorized,Non-perishable,each,1,1,lb,5.00,5.00,0.0810,0.3077,1 lb
Alexia® Sweet Potato Fries Sweet & Savory with Sea Salt 20oz,Alexia Sweet Potato Fries,Uncategorized,Non-perishable,each,1,20,oz,4.00,4.00,0.0648,0.0000,20oz
Applegate Natural Uncured Genoa Salami - 4oz,Applegate Natural Uncured Genoa,Produce,Perishable,each,1,4,oz,4.00,4.00,0.0648,0.0000,4oz
"Fresh Cosmic Crisp Apples, 3 lb Bag",Apples,Produce,Perishable,each,1,3,lb,4.00,4.00,0.0648,0.1538,3 lb
"GoGo squeeZ No Sugar Added Apple Apple Applesauce & Fruit Puree Pouches, 3.2 oz (24 Pack)",Apples,Produce,Perishable,each,24,3.2,oz,4.00,96.00,0.0648,0.0769,3.2 oz
"BelGioioso Freshly Shredded Parmesan Cheese, 5 oz Refrigerated Plastic Cup",Belgioioso Freshly Shredded Parmesan,Dairy,Perishable,oz,1,5,oz,4.00,4.00,0.0648,0.2308,5 oz
"Bush's Black Beans, Canned Beans, 15 oz",Black Beans,Pantry,Non-perishable,each,1,15,oz,4.00,4.00,0.0648,0.3077,15 oz
Tostitos Multigrain Scoops! Tortilla Chips-10oz,Chips,Snacks,Non-perishable,oz,1,10,oz,4.00,4.00,0.0648,0.0000,10oz
"Great Value Classic Alfredo Pasta Sauce, 22 oz",Classic Alfredo Pasta Sauce,Uncategorized,Non-perishable,each,1,22,oz,4.00,4.00,0.0648,0.0000,22 oz
"Classico Four Cheese Alfredo Pasta Sauce, 15 oz. Jar",Classico Four Cheese Alfredo,Dairy,Perishable,oz,1,15,oz,4.00,4.00,0.0648,0.0000,15 oz
"Classico Signature Recipes Traditional Pizza Sauce, 14 oz Jar",Classico Signature Recipes Traditional,Uncategorized,Non-perishable,each,1,14,oz,4.00,4.00,0.0648,0.2308,14 oz
"Philadelphia Cream Cheese, 2 Blocks, for Recipes and Baking, Original, No Artificial Preservatives, Flavors or Dye, 8 oz",Cream Cheese,Dairy,Perishable,oz,1,8,oz,4.00,4.00,0.0648,0.3077,8 oz
"Pillsbury Creamy Supreme Cream Cheese Frosting, 16 oz Tub",Cream Cheese,Dairy,Perishable,oz,1,16,oz,4.00,4.00,0.0648,0.1538,16 oz
"Crest Toothpaste, 3DWhite Advanced Whitening Toothpaste, Radiant Mint, 3.3 oz, 3 Pack",Crest Toothpaste Dwhite Advanced,Uncategorized,Non-perishable,each,3,3.3,oz,4.00,12.00,0.0648,0.0000,3.3 oz
"Great Value Crispy and Salty Pretzel Sticks, 16 oz",Crispy And Salty Pretzel,Uncategorized,Non-perishable,each,1,16,oz,4.00,4.00,0.0648,0.1538,16 oz
"Dial Antibacterial Defense Fresh Lavender Scent Foaming Hand Soap, 7.5 fl oz",Dial Antibacterial Defense Lavender,Uncategorized,Non-perishable,each,1,7.5,fl oz,4.00,4.00,0.0648,0.1538,7.5 fl oz
"Eggland's Best Large White Eggs, 18 Count",Eggland S Best Large,Uncategorized,Non-perishable,each,18,,,4.00,72.00,0.0648,0.3077,18 Count
"Great Value Fiesta Blend Finely Shredded Cheese, 8 oz Bag",Fiesta Blend Finely Shredded,Dairy,Perishable,oz,1,8,oz,4.00,4.00,0.0648,0.0000,8 oz
General Mills Cheerios Honey Nut Breakfast Cereal - 27.2oz,General Mills Cheerios Honey,Uncategorized,Non-perishable,each,1,27.2,oz,4.00,4.00,0.0648,0.1538,27.2oz
Kraft Mexican Style Four Cheese Finely Shredded Natural Cheese 16oz Bag,Kraft Mexican Style Four,Dairy,Perishable,each,1,16,oz,4.00,4.00,0.0648,0.0769,16oz
Mainstays – 4x6 Picture Frame – White Step Program Tabletop Photo Frame,Mainstays X Picture Frame,Uncategorized,Non-perishable,each,1,,,4.00,4.00,0.0648,0.0000,4x6
"Manwich Original Sloppy Joe Sauce, Canned Sauce, 15 oz",Manwich Sloppy Joe Sauce,Uncategorized,Non-perishable,each,1,15,oz,4.00,4.00,0.0648,0.0000,15 oz
"Martin's Hoagie Rolls, 6 count",Martin S Hoagie Rolls,Uncategorized,Non-perishable,each,6,,,4.00,24.00,0.0648,0.0000,6 count
"Galbani Whole Milk Ricotta Cheese, 32 oz (Refrigerated)",Milk,Dairy,Perishable,fl oz,1,32,oz,4.00,4.00,0.0648,0.0000,32 oz
"Nestle Toll House Semi Sweet Chocolate Baking Chips, 12 oz Bag",Nestle Toll House Semi,Snacks,Non-perishable,oz,1,12,oz,4.00,4.00,0.0648,0.3077,12 oz
"Olé Mexican Foods Xtreme Wellness High Fiber Keto Certified Flour Tortilla Wraps, 12.7 oz, 8 Count",Ol Mexican Foods Xtreme,Uncategorized,Non-perishable,each,8,12.7,oz,4.00,32.00,0.0648,0.0000,12.7 oz
"Old El Paso Hot Red Enchilada Sauce, 10 oz.",Old El Paso Hot,Uncategorized,Non-perishable,each,1,10,oz,4.00,4.00,0.0648,0.0000,10 oz
"Ore-Ida Extra Crispy Fast Food French Fries French Fried Potatoes, 26 oz Bag",Ore Ida Extra Crispy,Uncategorized,Non-perishable,each,1,26,oz,4.00,4.00,0.0648,0.0000,26 oz
"Pillsbury Original Crescent Rolls, Dough, 2 Pack, 16 Rolls, 16 oz",Pillsbury Crescent Rolls Dough,Uncategorized,Non-perishable,each,2,16,oz,4.00,8.00,0.0648,0.1538,2 Pack
"Pillsbury Grands! Southern Style Frozen Breakfast Biscuits, Value Pack, 20 ct., 41.6 oz",Pillsbury Grands Southern Style,Uncategorized,Non-perishable,each,20,41.6,oz,4.00,80.00,0.0648,0.3077,20 ct
Plum Organics® Jammy Sammy® Snack Size Sandwich Bar Blueberry + Oatmeal 5-Count Box/1.02oz Bars,Plum Organics Jammy Sammy,Uncategorized,Non-perishable,each,1,1.02,oz,4.00,4.00,0.0648,0.0000,1.02oz
Chobani 20G Protein Low-Fat Greek Yogurt Drink Mixed Berry Vanilla 10 fl oz Bottle,Protein Drinks,Dairy,Perishable,each,1,10,fl oz,4.00,4.00,0.0648,0.0000,20G
"Queso-Melt Original Restaurant Style Melting Cheese, 10 oz, 1 Count",Queso Melt Restaurant Style,Dairy,Perishable,oz,1,10,oz,4.00,4.00,0.0648,0.0000,10 oz
"Fresh Romaine Lettuce Hearts 3 Count, Each",Romaine Lettuce Hearts Each,Uncategorized,Non-perishable,each,3,,,4.00,12.00,0.0648,0.1538,3 Count
"Sargento® Sliced Muenster Natural Cheese, 11 Slices",Sargento Sliced Muenster Natural,Dairy,Perishable,oz,1,,,4.00,4.00,0.0648,0.2308,
"Starry Lemon Lime Soda Pop, 7.5 fl oz, 10 Pack Mini Cans",Starry Lemon Lime Soda,Uncategorized,Non-perishable,each,10,7.5,fl oz,4.00,40.00,0.0648,0.0000,7.5 fl oz
"Sterilite File Crate, Versatile Plastic Bin with Handles, Letter or Legal File Storage, Black, Standard Size",Sterilite File Crate Versatile,Uncategorized,Non-perishable,each,1,,,4.00,4.00,0.0648,0.0000,
"Great Value Tomato Paste, 6 oz",Tomatoes,Produce,Perishable,each,1,6,oz,4.00,4.00,0.0648,0.3077,6 oz
"Tropicana Pure Premium 100% Orange Juice Original, No Pulp, No Sugar Added, 46 fl oz",Tropicana Pure Premium Orange,Uncategorized,Non-perishable,each,1,46,fl oz,4.00,4.00,0.0648,0.3077,46 fl oz
"Wonder Nation Boys Short Sleeve Top and Pants, 2-Piece Sleep Set, Sizes 4-18 Plus Husky",Wonder Nation Boys Short,Uncategorized,Non-perishable,each,1,,,4.00,4.00,0.0648,0.0000,
Applegate Natural Uncured Peppered Genoa Salami - 4oz,Applegate Natural Uncured Peppered,Produce,Perishable,each,1,4,oz,3.00,3.00,0.0486,0.1538,4oz
"Marketside Organic Baby Arugula Salad, 5 oz Clam Shell (Fresh)",Baby Arugula Salad Clam,Uncategorized,Non-perishable,each,1,5,oz,3.00,3.00,0.0486,0.2308,5 oz
"Barilla Classic Whole Grain Pasta, Thin Spaghetti Noodles, 16 oz",Barilla Classic Whole Grain,Uncategorized,Non-perishable,each,1,16,oz,3.00,3.00,0.0486,0.0000,16 oz
"Bella Rosa Shredded Parmesan Cheese, Refrigerated 5 oz  Recyclable Plastic Cup",Bella Rosa Shredded Parmesan,Dairy,Perishable,oz,1,5,oz,3.00,3.00,0.0486,0.0000,5 oz
"Betty Crocker Bisquick Pancake and Baking Mix, Original, 20 oz",Betty Crocker Bisquick Pancake,Uncategorized,Non-perishable,each,1,20,oz,3.00,3.00,0.0486,0.1538,20 oz
"Freshness Guaranteed Sliced Sourdough Bread Loaf, 24 oz",Bread,Bakery,Non-perishable,oz,1,24,oz,3.00,3.00,0.0486,0.1538,24 oz
"Pepperidge Farm Farmhouse Sourdough Bread, 24 oz Loaf",Bread,Bakery,Non-perishable,oz,1,24,oz,3.00,3.00,0.0486,0.1538,24 oz
"Bush's Chili Beans, Canned Pinto Beans in Mild Chili Sauce, 16 oz Can",Bush S Chili Beans,Pantry,Non-perishable,each,1,16,oz,3.00,3.00,0.0486,0.0000,16 oz
Cantu Shea Butter for Natural Hair Complete Conditioning Co-Wash 10 oz,Cantu Shea Butter For,Uncategorized,Non-perishable,each,1,10,oz,3.00,3.00,0.0486,0.0000,10 oz
"Fresh Celery Hearts, Each",Celery Hearts Each,Uncategorized,Non-perishable,each,1,,,3.00,3.00,0.0486,0.0000,
"Classico Extra Creamy Alfredo Pasta Sauce, 15 oz Jar",Classico Extra Creamy Alfredo,Uncategorized,Non-perishable,each,1,15,oz,3.00,3.00,0.0486,0.0000,15 oz
Popcorners Kettle Corn Snacks Sharing Size - 7oz,Corn,Pantry,Non-perishable,oz,1,7,oz,3.00,3.00,0.0486,0.1538,7oz
"Crunchmaster Multi-Seed Original Gluten-Free crackers, Party Pack, 7 oz. Bag in Box",Crunchmaster Multi Seed Crackers,Uncategorized,Non-perishable,each,1,7,oz,3.00,3.00,0.0486,0.1538,7 oz
"Dawn Powerwash Spray Refill, Dish Soap, Dishwashing Liquid, Fresh, 1 Refill",Dawn Powerwash Spray Refill,Uncategorized,Non-perishable,each,1,,,3.00,3.00,0.0486,0.0000,
"DiGiorno Frozen Pizza, Rising Crust Four Cheese, 24.6 oz (Frozen)",Digiorno Frozen Pizza Rising,Dairy,Perishable,oz,1,24.6,oz,3.00,3.00,0.0486,0.0000,24.6 oz
"Eggland's Best Extra Large White Eggs, 18 Count",Eggland S Best Extra,Uncategorized,Non-perishable,each,18,,,3.00,54.00,0.0486,0.2308,18 Count
"Great Value Elbows, 16 oz",Elbows,Uncategorized,Non-perishable,each,1,16,oz,3.00,3.00,0.0486,0.0000,16 oz
Entertainment Collection Crackers Variety Pack - 13.1oz - Good & Gather™,Entertainment Collection Crackers Variety,Uncategorized,Non-perishable,each,1,13.1,oz,3.00,3.00,0.0486,0.2308,13.1oz
Fever-Tree Ginger Beer 150ml Cans; 8-pack,Fever Tree Ginger Beer,Uncategorized,Non-perishable,each,1,150,ml,3.00,3.00,0.0486,0.2308,150ml
"Great Value Fiesta Cheese Finely Shredded Blend, 32 oz Bag",Fiesta Cheese Finely Shredded,Dairy,Perishable,oz,1,32,oz,3.00,3.00,0.0486,0.0000,32 oz
"Flonase Allergy Relief Fluticasone Nasal Spray, 24 Hour Non-Drowsy Allergy Medicine, Metered Nasal Spray - 72 Sprays - Fall And Seasonal Allergy Relief",Flonase Allergy Relief Fluticasone,Uncategorized,Non-perishable,each,1,,,3.00,3.00,0.0486,0.0000,
"Gatorade Cool Blue flavor Thirst Quencher, 28 fl. oz. Bottle",Gatorade Cool Blue Flavor,Uncategorized,Non-perishable,each,1,,,3.00,3.00,0.0486,0.0000,
"Marketside Garlic & Herb Goat Cheese Log, 4 oz",Goat Cheese,Dairy,Perishable,oz,1,4,oz,3.00,3.00,0.0486,0.0000,4 oz
"GoGo squeeZ Active Electrolyte No Sugar Added Strawberry Pineapple Orange Fruit Blend, 3.9 oz (10 Pack)",Applesauce Pouches,Produce,Perishable,each,10,3.9,oz,3.00,30.00,0.0486,0.0000,3.9 oz
Holiday Vanilla Flavored Stars & Trees Marshmallows - 8oz - Favorite Day™,Holiday Vanilla Flavored Stars,Uncategorized,Non-perishable,each,1,8,oz,3.00,3.00,0.0486,0.0000,8oz
"Honey Stinger Organic Gluten-Free Energy Gel, Fruit Smoothie, 1.1 oz, 1 Count",Honey Stinger Energy Gel,Uncategorized,Non-perishable,each,1,1.1,oz,3.00,3.00,0.0486,0.2308,1.1 oz
"Kodiak Protein-Packed Honey Oat Protein Granola Bag, Ready to Eat, 11 oz",Kodiak Protein Packed Honey,Uncategorized,Non-perishable,each,1,11,oz,3.00,3.00,0.0486,0.2308,11 oz
LACROIX VTY,Lacroix Vty,Uncategorized,Non-perishable,each,1,,,3.00,3.00,0.0486,0.2308,
"Little Debbie Christmas Tree Brownies, 8 oz, 5 Count",Little Debbie Christmas Tree,Uncategorized,Non-perishable,each,5,8,oz,3.00,15.00,0.0486,0.0000,8 oz
"Great Value Low-Moisture Part-Skim Mozzarella Shredded Cheese, 32 oz Bag",Low Moisture Part Skim,Dairy,Perishable,oz,1,32,oz,3.00,3.00,0.0486,0.0769,32 oz
"Great Value Mild Cheddar Deli Style Sliced Cheese, 8 oz Package, 12 Slices",Mild Cheddar Deli Style,Dairy,Perishable,oz,1,8,oz,3.00,3.00,0.0486,0.0000,8 oz
"Great Value Whole Milk Low-Moisture Mozzarella String Cheese Sticks, 12 oz, 12 Count",Milk,Dairy,Perishable,fl oz,12,12,oz,3.00,36.00,0.0486,0.1538,12 oz
"Oikos Pro 20g Protein, Vanilla Yogurt-Cultured Ultra-Filtered Milk&nbsp;Product Cups, 5.3 oz, 4 Count",Milk,Dairy,Perishable,fl oz,4,5.3,oz,3.00,12.00,0.0486,0.2308,20g
Vitamin D Whole Milk - 1gal - Good & Gather™,Milk,Dairy,Perishable,fl oz,1,,,3.00,3.00,0.0486,0.0769,1gal
"Great Value Mozzarella String Cheese Sticks, 12 oz Bag, 12 Count",Mozzarella String Cheese Sticks,Dairy,Perishable,oz,12,12,oz,3.00,36.00,0.0486,0.0000,12 oz
"Nature Valley Protein Oats and Honey Granola, Family Size Pouch, 17 oz",Nature Valley Protein Oats,Uncategorized,Non-perishable,each,1,17,oz,3.00,3.00,0.0486,0.2308,17 oz
"Fresh Navel Orange, Each",Navel Orange Each,Uncategorized,Non-perishable,each,1,,,3.00,3.00,0.0486,0.0000,
"Nutella Hazelnut Spread with Cocoa, Creamy Hazelnut Spread, Breakfast Favorite, 13 oz Jar",Nutella Hazelnut Spread With,Uncategorized,Non-perishable,each,1,13,oz,3.00,3.00,0.0486,0.0000,13 oz
"Great Value Oats & Honey Granola, 11 oz",Oats Honey Granola,Uncategorized,Non-perishable,each,1,11,oz,3.00,3.00,0.0486,0.0000,11 oz
"OREO Double Stuf Chocolate Sandwich Cookies, Party Size, 24.95 oz",Oreo Double Stuf Chocolate,Uncategorized,Non-perishable,each,1,24.95,oz,3.00,3.00,0.0486,0.0000,24.95 oz
"Perdue Harvestland, Free Range, Fresh Boneless Chicken Breasts, 1.3-1.9 lb. Tray",Perdue Harvestland Free Range,Uncategorized,Perishable,each,1,1.9,lb,3.00,3.00,0.0486,0.2308,1.9 lb
"Great Value Organic Reduced Sodium Gluten-Free Chicken Broth, 32 oz Carton (Shelf-Stable)",Reduced Sodium Chicken Broth,Uncategorized,Perishable,each,1,32,oz,3.00,3.00,0.0486,0.0000,32 oz
"Safety 1st Parent Grip Door Knob Covers, White, 3 pack, Toddler",Safety St Parent Grip,Uncategorized,Non-perishable,each,3,,,3.00,9.00,0.0486,0.0000,3 pack
"Sargento® Balanced Breaks® Monterey Jack & Mild Cheddar Cheese, WHEAT THINS® Minis",Sargento Balanced Breaks Monterey,Dairy,Perishable,oz,1,,,3.00,3.00,0.0486,0.0000,
"Great Value Seasoned Croutons, Baked and Seasoned, 5 oz Resealable Bag",Seasoned Croutons Baked And,Uncategorized,Non-perishable,each,1,5,oz,3.00,3.00,0.0486,0.0769,5 oz
"Great Value Sharp Cheddar Finely Shredded Cheese, 8 oz Bag",Sharp Cheddar Finely Shredded,Dairy,Perishable,oz,1,8,oz,3.00,3.00,0.0486,0.0000,8 oz
"Skinnypop Gluten Free Original Popcorn, 8.0 oz Family Size Bag, Skinny Pop, Popcorn Snacks",Skinnypop Gluten Free Popcorn,Pantry,Non-perishable,oz,1,8.0,oz,3.00,3.00,0.0486,0.2308,8.0 oz
"Great Value Small Shells, 16 oz",Small Shells,Uncategorized,Non-perishable,each,1,16,oz,3.00,3.00,0.0486,0.2308,16 oz
"SUPERPRETZEL Bavarian Soft Pretzel Sticks, 24 oz, 10 Count (Frozen)",Superpretzel Bavarian Soft Pretzel,Uncategorized,Non-perishable,each,10,24,oz,3.00,30.00,0.0486,0.2308,24 oz
"Swiffer Sweep + Mop Heavy Duty Wet Refills, Multi-Surface Floor Cleaner, Unstopables Fresh, 20 Count",Swiffer Sweep Mop Heavy,Uncategorized,Non-perishable,each,20,,,3.00,60.00,0.0486,0.0769,20 Count
Tazo Classic Chai Latte Black Tea Concentrate - 32 fl oz,Tazo Classic Chai Latte,Uncategorized,Non-perishable,each,1,32,fl oz,3.00,3.00,0.0486,0.0769,32 fl oz
"Classico Tomato & Basil Pasta Sauce, 24 oz Jar",Tomatoes,Produce,Perishable,each,1,24,oz,3.00,3.00,0.0486,0.0000,24 oz
TORRE ORIA,Torre Oria,Uncategorized,Non-perishable,each,1,,,3.00,3.00,0.0486,0.2308,
"Utz Honey Barbeque Potato Chips, Gluten-Free, Family Size, 7.75 oz Bag",Utz Honey Barbeque Potato,Snacks,Non-perishable,oz,1,7.75,oz,3.00,3.00,0.0486,0.0000,7.75 oz
Utz Ripples Sour Cream & Onion Flavored Potato Chips 7.75 oz Family Size Bag,Utz Ripples Sour Cream,Snacks,Non-perishable,oz,1,7.75,oz,3.00,3.00,0.0486,0.0000,7.75 oz
"Fresh Whole Brussels Sprouts, 1 lb Bag",Whole Brussels Sprouts Bag,Uncategorized,Non-perishable,each,1,1,lb,3.00,3.00,0.0486,0.2308,1 lb
"Wonderful Pistachios No Shells Roasted & Salted Nuts, 12 Ounce Bag",Wonderful Pistachios No Shells,Uncategorized,Non-perishable,each,1,,,3.00,3.00,0.0486,0.2308,12 Ounce
"Activia Probiotic Dailies Strawberry and Blueberry Low Fat Probiotic Yogurt Drinks, Helps Support Gut Health, 3.1 fl oz, 8 Count",Yogurt Drinks,Dairy,Perishable,each,8,3.1,fl oz,2.00,16.00,0.0324,0.0000,3.1 fl oz
"Great Value All-Purpose Enriched Flour, 2 lb Bag",All Purpose Enriched Flour,Uncategorized,Non-perishable,each,1,2,lb,2.00,2.00,0.0324,0.0000,2 lb
"Fresh Organic Honeycrisp Apples, 2 lb Pouch",Apples,Produce,Perishable,each,1,2,lb,2.00,2.00,0.0324,0.1538,2 lb
"Barilla Classic Non-GMO, Kosher Certified Farfalle Pasta, 16 oz",Barilla Classic Non Gmo,Uncategorized,Non-perishable,each,1,16,oz,2.00,2.00,0.0324,0.0000,16 oz
"Great Value Organic Bay Leaves, 0.15 oz",Bay Leaves,Uncategorized,Non-perishable,each,1,0.15,oz,2.00,2.00,0.0324,0.0769,0.15 oz
"BelGioioso Fresh Mozzarella Log, Pre-Sliced Specialty Cheese, 16 oz Refrigerated Plastic Packet",Belgioioso Mozzarella Log Pre,Dairy,Perishable,oz,1,16,oz,2.00,2.00,0.0324,0.1538,16 oz
"Betty Crocker Snickerdoodle Cookies, Cookie Baking Mix, 17.9 oz",Betty Crocker Snickerdoodle Cookies,Uncategorized,Non-perishable,each,1,17.9,oz,2.00,2.00,0.0324,0.0000,17.9 oz
BFGUMMYBEARS,Bfgummybears,Uncategorized,Non-perishable,each,1,,,2.00,2.00,0.0324,0.1538,
"Birds Eye Steamfresh Mixed Vegetables, Frozen Vegetables, 10 oz. Bag",Birds Eye Steamfresh Mixed,Uncategorized,Non-perishable,each,1,10,oz,2.00,2.00,0.0324,0.0000,10 oz
Low Sodium Black Beans - 15.5oz - Good & Gather™,Black Beans,Pantry,Non-perishable,oz,1,15.5,oz,2.00,2.00,0.0324,0.1538,15.5oz
"Bluey Toddler Boys Holiday Thermal Henley Shirt with Long Sleeves, Sizes 12M-5T",Bluey Toddler Boys Holiday,Uncategorized,Non-perishable,each,1,,,2.00,2.00,0.0324,0.0000,
"Thomas' Cinnamon Raisin Swirl Bread, 16 oz, Cinnamon Bread, Bag",Bread,Bakery,Non-perishable,oz,1,16,oz,2.00,2.00,0.0324,0.0769,16 oz
Cabot Creamery Colby Jack Cheddar Cheese Block 8 oz (Refrigerated),Cabot Creamery Colby Jack,Dairy,Perishable,oz,1,8,oz,2.00,2.00,0.0324,0.1538,8 oz
"Great Value Canned Pineapple Tidbits, 20 oz",Canned Pineapple,Produce,Perishable,each,1,20,oz,2.00,2.00,0.0324,0.1538,20 oz
"Cantu Avocado Sulfate Free Conditioner, 13.5 oz",Cantu Avocado Sulfate Free,Uncategorized,Non-perishable,each,1,13.5,oz,2.00,2.00,0.0324,0.0000,13.5 oz
"Capri Sun Summer Blast Passion Fruit Mango Flavored Juice Drink Blend, from Concentrate with Other Natural Flavor, 10 ct Box, 6 fl oz Pouches, Liquids",Capri Sun Summer Blast,Uncategorized,Non-perishable,each,10,6,fl oz,2.00,20.00,0.0324,0.0000,10 ct
Chopped Caesar Salad Kit - 11.15oz - Good & Gather™,Chopped Caesar Salad Kit,Uncategorized,Non-perishable,each,1,11.15,oz,2.00,2.00,0.0324,0.1538,11.15oz
"Chuck Roast, Choice Angus Beef, Tray, Fresh, 2.25 - 3.38 lb",Chuck Roast Choice Angus,Uncategorized,Perishable,each,1,3.38,lb,2.00,2.00,0.0324,0.1538,3.38 lb
"Classico Four Cheese Spaghetti Pasta Sauce Value Size, 44 oz Jar",Classico Four Cheese Spaghetti,Dairy,Perishable,oz,1,44,oz,2.00,2.00,0.0324,0.0000,44 oz
"Great Value Confectioners Powdered Sugar, 32 oz",Confectioners Powdered Sugar,Uncategorized,Non-perishable,each,1,32,oz,2.00,2.00,0.0324,0.1538,32 oz
"Cool Whip Original Whipped Topping, 8 oz Tub",Cool Whip Whipped Topping,Uncategorized,Non-perishable,each,1,8,oz,2.00,2.00,0.0324,0.1538,8 oz
"Great Value Canned Cream Style Sweet Corn, 14.75 oz Aluminum Can",Corn,Pantry,Non-perishable,each,1,14.75,oz,2.00,2.00,0.0324,0.0000,14.75 oz
Santitas White Corn Tortilla Chips - 11oz,Corn,Pantry,Non-perishable,oz,1,11,oz,2.00,2.00,0.0324,0.0000,11oz
Cranberry Jalapeno Dip - 10oz - Good & Gather™,Cranberry Jalapeno Dip Good,Uncategorized,Non-perishable,each,1,10,oz,2.00,2.00,0.0324,0.1538,10oz
"Great Value Original Whipped Cream Cheese Spread, 8 oz Cup",Cream Cheese,Dairy,Perishable,oz,1,8,oz,2.00,2.00,0.0324,0.0000,8 oz
"Crest Pro‑Health Advanced Fluoride Mouthwash, Alcohol‑Free Mouth Rinse for Whitening, Energizing Mint, 32 fl oz",Crest Pro Health Advanced,Uncategorized,Non-perishable,each,1,32,fl oz,2.00,2.00,0.0324,0.1538,32 fl oz
Crosswind All Season UHP All Season 205/45R16 87W XL Passenger Tire,Crosswind All Season Uhp,Uncategorized,Non-perishable,each,1,,,2.00,2.00,0.0324,0.0000,
"Dawn Platinum Powerwash Dish Spray, Dish Soap Refill - Fresh - 16oz: Multi-Surface",Dawn Platinum Powerwash Dish,Uncategorized,Non-perishable,each,1,16,oz,2.00,2.00,0.0324,0.0000,16oz
"Deer Park Spring Water - 32 Pack/16.9 FL Oz, Plastic Bottles",Deer Park Spring Water,Uncategorized,Non-perishable,each,32,16.9,fl oz,2.00,64.00,0.0324,0.0000,32 Pack
"Dr Teal's Epsom Salt Magnesium Soak, Relax & Relief with Eucalyptus & Spearmint, 3 lbs",Dr Teal S Epsom,Uncategorized,Non-perishable,each,1,3,lbs,2.00,2.00,0.0324,0.1538,3 lbs
"Dr Teal's Pure Epsom Salt Soak, Therapeutic, Fragrance Free, 6 lbs",Dr Teal S Pure,Uncategorized,Non-perishable,each,1,6,lbs,2.00,2.00,0.0324,0.1538,6 lbs
"Great Value Dried Philippine Mango, 6 oz",Dried Philippine Mango,Uncategorized,Non-perishable,each,1,6,oz,2.00,2.00,0.0324,0.1538,6 oz
"Great Value Organic Extra Virgin Olive Oil, 17 fl oz",Extra Virgin Olive Oil,Uncategorized,Non-perishable,each,1,17,fl oz,2.00,2.00,0.0324,0.0769,17 fl oz
"EZ Foil Disposable Casserole Pans, 11.75 x 9.25 in., 2 Count",Ez Foil Disposable Casserole,Uncategorized,Non-perishable,each,2,,,2.00,4.00,0.0324,0.0000,11.75 x 9
"Great Value Fettuccine, 16 oz",Fettuccine,Uncategorized,Non-perishable,each,1,16,oz,2.00,2.00,0.0324,0.0000,16 oz
"Fluffernutter Marshmallow Fluff, 7.5 oz",Fluffernutter Marshmallow Fluff,Uncategorized,Non-perishable,each,1,7.5,oz,2.00,2.00,0.0324,0.0769,7.5 oz
