raw_item,canonical_item,pack_count,base_unit,size_amount,size_unit,normalized_units_total,category_guess,perishable_guess
"Oikos Triple Zero 15g Protein, 0g Added Sugar, Fat Free Vanilla Greek Yogurt Cups, 5.3 oz, 4 Count",Oikos Triple Zero G,4,each,5.3,oz,4.00,Dairy,Perishable
"Ophanie 22.5 inch 2 Pack Wood Floating Shelves, Hanging Float Shelf for Wall Mounted Decorative Shelves, 6.7 x 23 Inch, Set of 2, Rustic Brown-",Ophanie Inch Wood Floating,2,each,,,4.00,Uncategorized,Non-perishable
Plum Organics® Jammy Sammy® Snack Size Sandwich Bar Blueberry + Oatmeal 5-Count Box/1.02oz Bars,Plum Organics Jammy Sammy,1,each,1.02,oz,4.00,Uncategorized,Non-perishable
Chobani 20G Protein Low-Fat Greek Yogurt Drink Mixed Berry Vanilla 10 fl oz Bottle,Protein Drinks,1,each,10,fl oz,4.00,Dairy,Perishable
Chobani 20g Protein Greek Yogurt Drink Strawberry Cream - 40 fl oz/4ct Bottles,Protein Drinks,4,each,40,fl oz,4.00,Dairy,Perishable
"Queso-Melt Original Restaurant Style Melting Cheese, 10 oz, 1 Count",Queso Melt Restaurant Style,1,oz,10,oz,4.00,Dairy,Perishable
"Smucker’s Uncrustables Peanut Butter & Raspberry Spread Sandwiches, 4 Count, 2 oz Each, Frozen",Smucker S Uncrustables Peanut,4,each,2,oz,4.00,Uncategorized,Non-perishable
"(2 pack) Sterilite Small Storage Bin, 28 Quart Clear Plastic Storage Container with Snap-On Lid, White",Sterilite Small Storage Bin,2,each,,,4.00,Uncategorized,Non-perishable
"(2 pack) Classico Tomato & Basil Spaghetti Pasta Sauce, 24 oz. Jar",Pasta Sauce,2,each,24,oz,4.00,Produce,Perishable
"Great Value Tomato Paste, 6 oz",Tomatoes,1,each,6,oz,4.00,Produce,Perishable
