canonical_item,normalized_units_total,raw_item_count,base_unit,category_guess,perishable_guess,size_examples
Fram Extra Guard Oil,2.00,2,each,Uncategorized,Non-perishable,
King Arthur Baking Company,2.00,2,each,Uncategorized,Non-perishable,10 lb; 5 lb
Lipton Recipe Secrets Onion,2.00,1,each,Uncategorized,Non-perishable,2 oz
Safety St Custom Fit,2.00,1,each,Uncategorized,Non-perishable,
Shredded Iceberg Lettuce Bag,2.00,2,each,Uncategorized,Non-perishable,16 oz; 8 oz
Venus Extra Smooth Sensitive,2.00,1,each,Uncategorized,Non-perishable,
Welch S Non Alcoholic,2.00,1,each,Uncategorized,Non-perishable,25.4 fl oz
Ace Brand Adjustable Compression,1.00,1,each,Uncategorized,Non-perishable,
Airfire H Hepa Air,1.00,1,each,Uncategorized,Non-perishable,
Airtechnik Cf Cabin Air,1.00,1,each,Uncategorized,Non-perishable,
Allegra Children S Hour,1.00,1,each,Uncategorized,Non-perishable,4 oz
Allerease Ultimate Cotton Pillow,1.00,1,each,Uncategorized,Non-perishable,
Applegate Natural Prosciutto,1.00,1,each,Produce,Perishable,3 oz
Aspercreme Max Strength Topical,1.00,1,each,Uncategorized,Non-perishable,4.3 oz
Aveeno Therapeutic Shave Gel,1.00,1,each,Uncategorized,Non-perishable,7 oz
Baby Peeled Carrots Bag,1.00,1,each,Uncategorized,Non-perishable,1 lb
Belgioioso Freshly Grated Parmesan,1.00,1,oz,Dairy,Perishable,5 oz
Betty Crocker Delights Super,1.00,1,each,Uncategorized,Perishable,13.25 oz
Betty Crocker Favorites Super,1.00,1,each,Uncategorized,Non-perishable,13.25 oz
Blue Bunny Soft Cookies,1.00,1,each,Uncategorized,Non-perishable,46 fl oz
Cabot Creamery Lowfat Greek,1.00,1,each,Dairy,Perishable,2 lb
Cantu Care For Kids,1.00,1,each,Uncategorized,Non-perishable,6 fl oz
Cantu Sulfate Free Hydrating,1.00,1,each,Uncategorized,Non-perishable,25 fl oz
Cantu Weightless Smoothing Shampoo,1.00,1,each,Uncategorized,Non-perishable,
Cascade Complete Dishwasher Detergent,1.00,1,each,Uncategorized,Non-perishable,120 fl oz
Cascade Complete Dishwashing Liquid,1.00,1,each,Uncategorized,Non-perishable,120 fl oz
Celery Sticks Bag,1.00,1,each,Uncategorized,Non-perishable,20 oz
Character Toddler Boy Briefs,1.00,1,each,Uncategorized,Non-perishable,
Cheetos Crunchy Cheese Flavored,1.00,1,oz,Dairy,Perishable,8.5 oz
Cheez It Grooves Sharp,1.00,1,oz,Dairy,Perishable,17 oz
Chicalfredo,1.00,1,each,Uncategorized,Non-perishable,
Chick Enchil,1.00,1,each,Uncategorized,Non-perishable,
Children S Motrin Ibuprofen,1.00,1,each,Uncategorized,Non-perishable,
Chili Seasoning Mix,1.00,1,each,Uncategorized,Non-perishable,1.25 oz
Choc Caramel,1.00,1,each,Uncategorized,Non-perishable,
Chocolate Chip Cookie Dough,1.00,1,each,Uncategorized,Non-perishable,48 fl oz
Cinnamon Sticks,1.00,1,each,Uncategorized,Non-perishable,0.75 oz
Cloudline Pn,1.00,1,each,Uncategorized,Non-perishable,
Coffee Mate Harry Potter,1.00,1,each,Uncategorized,Non-perishable,14 oz
Columbus Peppered Salami Sliced,1.00,1,each,Uncategorized,Perishable,10 oz
Concord Foods Lime Juice,1.00,1,fl oz,Uncategorized,Non-perishable,4.5 oz
Convenience Kits International Women,1.00,1,each,Uncategorized,Non-perishable,
Cookies Cream Ice Cream,1.00,1,each,Uncategorized,Non-perishable,48 fl oz
Core Power Elite Vanilla,1.00,1,each,Uncategorized,Non-perishable,14 fl oz
Cranberries Bag,1.00,1,each,Uncategorized,Non-perishable,12 oz
Creamy Peanut Butter Good,1.00,1,each,Uncategorized,Non-perishable,40 oz
Crest Toothpaste D White,1.00,1,each,Uncategorized,Non-perishable,2.4 oz
Daisy Pure And Natural,1.00,1,each,Uncategorized,Non-perishable,24 oz
Dark Green Sanding Sugar,1.00,1,each,Uncategorized,Non-perishable,3.5 oz
Dawn Powerwash Spray Dish,1.00,1,each,Uncategorized,Non-perishable,16 fl oz
Del Monte Cut Green,1.00,1,each,Pantry,Non-perishable,14.5 oz
Dove Advanced Care Antiperspirant,1.00,1,each,Uncategorized,Non-perishable,2.6 oz
Dr Teal S Kids,1.00,1,each,Uncategorized,Non-perishable,20 fl oz
Dry Roasted Peanuts,1.00,1,each,Uncategorized,Non-perishable,16 oz
Duke S Mayonnaise Light,1.00,1,each,Uncategorized,Non-perishable,18 oz
Earthbound Farm Vegetable Tray,1.00,1,each,Uncategorized,Non-perishable,40 oz
Easter Bunny Multi Color,1.00,1,each,Uncategorized,Non-perishable,2.82 oz
Equate Isopropyl Alcohol Antiseptic,1.00,1,each,Uncategorized,Non-perishable,32 fl oz
Extra Creamy Dairy Whipped,1.00,1,each,Uncategorized,Non-perishable,13 oz
Extra Sharp Cheddar Shredded,1.00,1,oz,Dairy,Perishable,16 oz
Farberware Professional Old Fashion,1.00,1,each,Uncategorized,Non-perishable,
Filtrete X X Hvac,1.00,1,each,Uncategorized,Non-perishable,
Fram Ultra Synthetic Oil,1.00,1,each,Uncategorized,Non-perishable,
Frozen Broccoli Cuts Steamable,1.00,1,each,Uncategorized,Non-perishable,32 oz
Frozen Broccoli Florets Bag,1.00,1,each,Uncategorized,Non-perishable,32 oz
Gatorade Gator Skin Bottle,1.00,1,each,Uncategorized,Non-perishable,32 oz
Gillette Satin Care Ultra,1.00,1,each,Uncategorized,Non-perishable,14 oz
Good Spirits A Novel,1.00,1,each,Uncategorized,Non-perishable,
Ground Ginger,1.00,1,each,Uncategorized,Non-perishable,1.5 oz
Halloween Color Your Own,1.00,1,each,Uncategorized,Non-perishable,
Hardwood Smoked Classic Sliced,1.00,1,each,Uncategorized,Non-perishable,16 oz
Hardwood Smoked Thick Cut,1.00,1,each,Uncategorized,Non-perishable,16 oz
Heinz Homestyle Turkey Gravy,1.00,1,each,Meat,Non-perishable,18 oz
Hershey S Caramel Flavored,1.00,1,each,Uncategorized,Non-perishable,22 oz
Hershey S Chocolate Syrup,1.00,1,each,Uncategorized,Non-perishable,24 oz
Holiday Hot Cocoa Whipped,1.00,1,each,Uncategorized,Non-perishable,13 oz
Honest Kids Appley Ever,1.00,1,each,Produce,Perishable,6 fl oz
Honey Maid Graham Crackers,1.00,1,each,Uncategorized,Non-perishable,14.4 oz
Honey Plastic Bear,1.00,1,each,Uncategorized,Non-perishable,12 oz
Horizon Half And Half,1.00,1,each,Uncategorized,Non-perishable,32 fl oz
Horizon Real Dairy Homestyle,1.00,1,each,Uncategorized,Non-perishable,24 fl oz
Hot Honey Cashews Good,1.00,1,each,Uncategorized,Non-perishable,6 oz
Hyper Tough Amp In,1.00,1,each,Uncategorized,Non-perishable,
Ice Breakers Ice Cubes,1.00,1,each,Uncategorized,Non-perishable,3.24 oz
Individually Plastic Wrapped Singles,1.00,1,each,Dairy,Perishable,16 oz
Ink Cartridges Compatible For,1.00,1,each,Uncategorized,Non-perishable,
Jell O French Vanilla,1.00,1,each,Uncategorized,Non-perishable,3.4 oz
Jimmy Dean Regular Pork,1.00,1,each,Meat,Perishable,16 oz
Johnsonville Breakfast Sausage Links,1.00,1,each,Meat,Perishable,12 oz
Just Bare Lightly Breaded,1.00,1,oz,Bakery,Perishable,24 oz
Keebler Ready Crust Inch,1.00,1,each,Uncategorized,Non-perishable,6 oz
Kellogg S Graham Cracker,1.00,1,each,Uncategorized,Non-perishable,13.5 oz
Kellogg S Rice Krispies,1.00,1,each,Uncategorized,Non-perishable,18 oz
Kettle Brand Party Size,1.00,1,oz,Snacks,Non-perishable,13 oz
Kettle Brand Sea Salt,1.00,1,oz,Snacks,Non-perishable,7.5 oz
Kinder S Buttery Steakhouse,1.00,1,each,Uncategorized,Non-perishable,5.5 oz
Kinder S Sunday Pot,1.00,1,each,Uncategorized,Non-perishable,1.1 oz
Kraft Parmesan Finely Shredded,1.00,1,oz,Dairy,Perishable,6 oz
Ks Bags,1.00,1,each,Uncategorized,Non-perishable,
Ktaxon Twin Size Bed,1.00,1,each,Uncategorized,Non-perishable,
L A Looks Extreme,1.00,1,each,Uncategorized,Non-perishable,20 oz
La Chona Cotija Mexican,1.00,1,each,Dairy,Perishable,16 oz
Land O Lakes Unsalted,1.00,1,each,Uncategorized,Non-perishable,1 lb
Lemon Each,1.00,1,each,Uncategorized,Non-perishable,
Light Brown Sugar,1.00,1,each,Uncategorized,Non-perishable,32 oz
Little Debbie Big Pack,1.00,1,each,Uncategorized,Non-perishable,
Logitech Wireless Presenter R,1.00,1,each,Uncategorized,Non-perishable,
Lucas Oil Products Interior,1.00,1,each,Uncategorized,Non-perishable,
Lunchables Turkey Cheddar Value,1.00,1,each,Meat,Non-perishable,1.9 oz
Mainstays Ply Manual Can,1.00,1,each,Uncategorized,Non-perishable,
Maple Grove Farms Pure,1.00,1,each,Uncategorized,Non-perishable,12.5 fl oz
Marshmallow Whipped Dairy Topping,1.00,1,each,Uncategorized,Non-perishable,13 oz
Marshmallows Bag,1.00,1,each,Uncategorized,Non-perishable,10 oz
Mccormick Ground Cumin Bottle,1.00,1,each,Uncategorized,Non-perishable,1.5 oz
Medium Egg Noodles,1.00,1,each,Uncategorized,Non-perishable,16 oz
Meow Mix Gravy Bursts,1.00,1,each,Uncategorized,Perishable,13.5 lb
Method Curl Defining Co,1.00,1,each,Uncategorized,Non-perishable,13.5 oz
Method Moisturizing Conditioner Simply,1.00,1,each,Uncategorized,Non-perishable,13.5 fl oz
Method Repairing Shampoo Island,1.00,1,each,Uncategorized,Non-perishable,14 fl oz
Mobil Advanced Full Synthetic,1.00,1,each,Uncategorized,Non-perishable,
Monster Microfiber Towel With,1.00,1,each,Uncategorized,Non-perishable,
Morton Iodized Salt,1.00,1,each,Uncategorized,Non-perishable,26 oz
Mucinex Children S Night,1.00,1,each,Uncategorized,Non-perishable,4 fl oz
Mucinex Children S Stuffy,1.00,1,each,Uncategorized,Non-perishable,4 fl oz
Mucinex Fast Max Cold,1.00,1,each,Uncategorized,Non-perishable,6 fl oz
Mucinex Fast Max Kickstart,1.00,1,each,Uncategorized,Non-perishable,6 fl oz
Mucinex Fast Max Severe,1.00,1,each,Uncategorized,Non-perishable,6 fl oz
Mucinex Nightshift Sinus Medicine,1.00,1,each,Uncategorized,Non-perishable,6 fl oz
Mueller S Sodium Free,1.00,1,each,Uncategorized,Non-perishable,16 oz
Native Coconut Vanilla Body,1.00,1,each,Uncategorized,Non-perishable,18 fl oz
Native Limited Edition Vanilla,1.00,1,each,Uncategorized,Non-perishable,18 fl oz
Native Moisturizing Conditioner Coconut,1.00,1,each,Uncategorized,Non-perishable,16.5 fl oz
Nature S Miracle Dog,1.00,1,each,Uncategorized,Non-perishable,24 oz
Nestle Toll House Premier,1.00,1,oz,Snacks,Non-perishable,12 oz
Ocean Spray Cranberry Juice,1.00,1,each,Uncategorized,Non-perishable,64 fl oz
Ocean Spray Whole Cranberry,1.00,1,each,Uncategorized,Non-perishable,14 oz
Olay Firming Body Lotion,1.00,1,each,Uncategorized,Non-perishable,17 fl oz
Olay Nourishing Body Wash,1.00,1,each,Uncategorized,Non-perishable,20 fl oz
Oregon Chai Chai Concentrate,1.00,1,each,Uncategorized,Non-perishable,
Ortho Groundclear Poison Ivy,1.00,1,each,Uncategorized,Non-perishable,
Parmesan Baked Cheese Crisp,1.00,1,oz,Dairy,Perishable,2.12 oz
Parmesan Cheese Crisps With,1.00,1,oz,Dairy,Perishable,2.12 oz
Parmesan Finely Shredded Cheese,1.00,1,oz,Dairy,Perishable,6 oz
Pen Gear Economy White,1.00,1,each,Uncategorized,Non-perishable,
Pepperidge Farm Sesame Topped,1.00,1,each,Bakery,Non-perishable,
Peppermint Whipped Dairy Topping,1.00,1,each,Uncategorized,Non-perishable,13 oz
Planet Oat Oatmilk Dairy,1.00,1,fl oz,Dairy,Perishable,52 oz
Pomegranate Juice,1.00,1,fl oz,Uncategorized,Non-perishable,32 fl oz
Pompeian Red Wine Vinegar,1.00,1,each,Uncategorized,Non-perishable,16 fl oz
Popcorners Spicy Queso,1.00,1,oz,Pantry,Non-perishable,7 oz
Popcorners White Cheddar,1.00,1,oz,Pantry,Non-perishable,12 oz
Premium Soup Oyster Crackers,1.00,1,each,Uncategorized,Non-perishable,9 oz
Produce Whole Green Cilantro,1.00,1,each,Uncategorized,Non-perishable,
Pure Granulated Sugar,1.00,1,each,Uncategorized,Non-perishable,4 lb
Pure Pumpkin,1.00,1,each,Uncategorized,Non-perishable,15 oz
Purina One Plus Sensitive,1.00,1,each,Meat,Non-perishable,7 lb
Purina One True Instinct,1.00,1,each,Meat,Non-perishable,7.4 lb
Queso Mama White Queso,1.00,1,each,Uncategorized,Non-perishable,12 oz
Red Lobster Cheddar Bay,1.00,1,each,Uncategorized,Non-perishable,11.36 oz
Ricotta Cheese Tub,1.00,1,oz,Dairy,Perishable,32 oz
Ritz Peanut Butter Sandwich,1.00,1,each,Uncategorized,Non-perishable,
Roasted Salted Pistachios Resealable,1.00,1,each,Uncategorized,Non-perishable,16 oz
Rolo Unwrapped Rich Chocolate,1.00,1,each,Uncategorized,Non-perishable,7.6 oz
Russell Athletic Boys Runner,1.00,1,each,Uncategorized,Non-perishable,
Salt Free Garlic Herb,1.00,1,each,Uncategorized,Non-perishable,2.5 oz
Sargento Balanced Breaks Cheese,1.00,1,oz,Dairy,Perishable,
Schick Hydro Silk Ultra,1.00,1,each,Uncategorized,Non-perishable,
Scott Septic Safe Ply,1.00,1,each,Uncategorized,Non-perishable,
Secret Aluminum Free Women,1.00,1,each,Uncategorized,Non-perishable,2.4 oz
Semi Sweet Chocolate Baking,1.00,1,oz,Snacks,Non-perishable,12 oz
Sheamoisture Antiperspirant Deodorant Stick,1.00,1,each,Uncategorized,Non-perishable,2.6 oz
Sheamoisture Even Tone Antiperspirant,1.00,1,each,Uncategorized,Non-perishable,2.6 oz
Sheamoisture Whole Body Deodorant,1.00,1,each,Uncategorized,Non-perishable,2.6 oz
Shredded Mexican Style Cheese,1.00,1,each,Dairy,Perishable,16 oz
Shredded Sharp Cheddar Cheese,1.00,1,oz,Dairy,Perishable,8 oz
Sleek Scalp Massage Brush,1.00,1,each,Uncategorized,Non-perishable,
Smash Kitchen Classic Extra,1.00,1,each,Uncategorized,Non-perishable,16.9 fl oz
Smucker S Simply Fruit,1.00,1,each,Uncategorized,Non-perishable,10 oz
Snack Factory Garlic Parmesan,1.00,1,each,Uncategorized,Non-perishable,14 oz
Socozy Kid S Swim,1.00,1,each,Uncategorized,Non-perishable,10.5 fl oz
Soundcore Aeroclip Open Ear,1.00,1,each,Uncategorized,Non-perishable,
Spears Dill Pickle Pack,1.00,1,each,Uncategorized,Non-perishable,24 fl oz
Sterilite Large Latching Storage,1.00,1,each,Uncategorized,Non-perishable,
Stouffer S Classic Lasagna,1.00,1,each,Uncategorized,Perishable,90 oz
Stouffer S Macaroni Cheese,1.00,1,oz,Dairy,Perishable,76 oz
Stove Top Stuffing Mix,1.00,1,each,Meat,Non-perishable,6 oz
Super Tech Cabin Air,1.00,1,each,Uncategorized,Non-perishable,
Sweet Peas Frozen Steamable,1.00,1,each,Uncategorized,Non-perishable,12 oz
Tazo Chai Pumpkin Spice,1.00,1,each,Uncategorized,Non-perishable,32 fl oz
Tazo Tea Latte Chai,1.00,1,each,Uncategorized,Non-perishable,32 fl oz
Tide Free Gentle Unscented,1.00,1,each,Uncategorized,Non-perishable,
Toddler Boys Fleece Zip,1.00,1,each,Uncategorized,Non-perishable,
Toddler Boys Long Sleeve,1.00,1,each,Uncategorized,Non-perishable,
Tph By Taraji Cooling,1.00,1,each,Uncategorized,Non-perishable,4 oz
Tph By Taraji Ride,1.00,1,each,Uncategorized,Non-perishable,4 oz
Traditional Medicinals Nighty Night,1.00,1,each,Uncategorized,Non-perishable,
Trolli Sour Brite Crawlers,1.00,1,each,Uncategorized,Non-perishable,14 oz
Turkey Hill Choco Mint,1.00,1,each,Meat,Non-perishable,46 fl oz
Turkey Hill Chocolate Chip,1.00,1,each,Meat,Non-perishable,46 fl oz
Uncured Calabrese Salami Prosciutto,1.00,1,each,Uncategorized,Non-perishable,6 oz
Utz Braided Twists Honey,1.00,1,each,Uncategorized,Non-perishable,14 oz
Vanilla Bean Flavored Ice,1.00,1,each,Uncategorized,Non-perishable,48 fl oz
Vegetable Oil Heart Healthy,1.00,1,each,Uncategorized,Non-perishable,48 fl oz
Vicks Warm Steam Vaporizer,1.00,1,each,Uncategorized,Non-perishable,
Walmart New Tire Install,1.00,1,each,Uncategorized,Non-perishable,
Weiman Granite Cleaner Polish,1.00,1,each,Uncategorized,Non-perishable,
Welch S Natural Concord,1.00,1,each,Uncategorized,Non-perishable,17 oz
Welch S Natural Strawberry,1.00,1,each,Uncategorized,Non-perishable,17 oz
Wet Brush Go Green,1.00,1,each,Uncategorized,Non-perishable,
Wet Brush Mini Detangler,1.00,1,each,Uncategorized,Non-perishable,
Whole Red Onion Each,1.00,1,each,Uncategorized,Non-perishable,
Whole Sweet Onion Each,1.00,1,each,Uncategorized,Non-perishable,
Wilton Mini Daisy Royal,1.00,1,each,Uncategorized,Non-perishable,0.33 oz
Yellow Baby Potatoes Bag,1.00,1,each,Uncategorized,Non-perishable,1.5 lb
Yellow Bell Pepper Each,1.00,1,each,Uncategorized,Non-perishable,
