canonical_item,category_guess,perishable_guess,base_unit,size_unit,first_date,last_date,weeks_observed_all,total_qty_all,total_qty_13w,units_per_week_all,units_per_week_13w,occurrences_all,occurrences_13w,raw_examples
Paper Plates,Uncategorized,Non-perishable,each,,2025-11-22,2026-01-21,61.71,3.00,2.00,0.0486,0.1538,3,2,"Great Value Disposable Paper Plates, 8.5"", 100 Count | Dixie Disposable Paper Plates, 8.5"", Multi-Color, 50 Count | Great Value Disposable Paper Plates, 10"", 150 Count"
Gatorade Sports Drink Fruit,Uncategorized,Non-perishable,each,fl oz,2025-12-14,2026-03-02,61.71,2.00,2.00,0.0324,0.1538,2,2,"Gatorade Sports Drink, Fruit Punch/Glacier Cherry/Cool Blue Variety Pack, 12 fl oz, 18 Count Bottles"
Vita Coco The Coconut,Uncategorized,Non-perishable,fl oz,fl oz,2025-12-17,2025-12-17,61.71,2.00,2.00,0.0324,0.1538,1,1,"Vita Coco The Original Coconut Water, Nutrients & Electrolytes Rich, Pure, 16.9 fl oz Tetra"
Belgioioso Mozzarella Log Pre,Dairy,Perishable,oz,oz,2025-12-21,2025-12-21,61.71,2.00,2.00,0.0324,0.1538,1,1,"BelGioioso Fresh Mozzarella Log, Pre-Sliced Specialty Cheese, 16 oz Refrigerated Plastic Packet"
Velveeta Pasteurized Recipe Cheese,Dairy,Perishable,oz,oz,2026-01-03,2026-02-16,61.71,2.00,2.00,0.0324,0.1538,2,2,"Velveeta Original Pasteurized Recipe Cheese Product, 16 oz Block"
Ranch,Uncategorized,Non-perishable,each,fl oz,2026-01-09,2026-01-20,61.71,2.00,2.00,0.0324,0.1538,2,2,"Hidden Valley Original Ranch Dipping Sauce Salad Dressing and Topping, 20 fl oz Easy Squeeze Bottle"
Frank S Redhot Cayenne,Uncategorized,Non-perishable,each,fl oz,2026-01-09,2026-01-27,61.71,2.00,2.00,0.0324,0.1538,2,2,"Frank's RedHot Kosher Original Cayenne Pepper Hot Sauce, 23.0 fl oz Bottle"
Sweet Loren S Gluten,Uncategorized,Non-perishable,each,oz,2026-01-10,2026-01-10,61.71,2.00,2.00,0.0324,0.1538,1,1,Sweet Loren's Gluten Free Vegan Fudgy Brownie Cookie Dough - 12oz/12ct
Wholly Guacamole Minis Paste,Uncategorized,Non-perishable,each,oz,2026-01-13,2026-02-09,61.71,2.00,2.00,0.0324,0.1538,2,2,"WHOLLY GUACAMOLE Minis Paste, Classic, 12oz, 6 Pack"
Pillsbury Grands Cinnamon Rolls,Uncategorized,Non-perishable,each,oz,2026-01-17,2026-01-17,61.71,2.00,2.00,0.0324,0.1538,1,1,"Pillsbury Grands! Cinnamon Rolls, with Cinnabon Cinnamon and Original Icing, 5 Count, 17.5 oz"
Crest Pro Health Advanced,Uncategorized,Non-perishable,each,fl oz,2026-01-27,2026-01-27,61.71,2.00,2.00,0.0324,0.1538,1,1,"Crest Pro‑Health Advanced Fluoride Mouthwash, Alcohol‑Free Mouth Rinse for Whitening, Energizing Mint, 32 fl oz"
Avocados,Uncategorized,Non-perishable,each,,2026-01-28,2026-02-09,61.71,2.00,2.00,0.0324,0.1538,2,2,"Hass Avocados - 4ct - Good & Gather™ | Fresh Small Hass Avocados, 5-6 Count Bag"
King S Hawaiian Hawaiian,Uncategorized,Non-perishable,each,oz,2025-01-12,2025-12-26,61.71,27.00,1.00,0.4375,0.0769,24,1,"King's Hawaiian Original Hawaiian Sweet Dinner Rolls 24 Count, 24 oz, Shelf-Stable"
Pillsbury Grands Southern Homestyle,Dairy,Perishable,fl oz,oz,2025-01-18,2025-12-11,61.71,14.00,1.00,0.2269,0.0769,13,1,"Pillsbury Grands! Southern Homestyle Buttermilk Biscuits, 2 Pack, 16 Biscuits, 32.6 oz | Pillsbury Grands! Southern Homestyle Buttermilk Biscuits - 16.3oz/8ct"
Tazo Classic Chai Latte,Uncategorized,Non-perishable,each,fl oz,2025-01-20,2026-01-28,61.71,3.00,1.00,0.0486,0.0769,3,1,Tazo Classic Chai Latte Black Tea Concentrate - 32 fl oz
Yogurt Drinks,Dairy,Perishable,each,fl oz,2025-02-03,2026-01-15,61.71,17.00,1.00,0.2755,0.0769,12,1,"Activia Probiotic Dailies Strawberry Low Fat Probiotic Yogurt Drinks, Helps Support Gut Health, 3.1 fl oz, 8 Count | Activia Probiotic Dailies Strawberry and Blueberry Low Fat Probiotic Yogurt Drinks, Helps Support Gut Health, 3.1 fl oz, 8 Count | Oikos Pro Strawberry Cultured Dairy Drink - 3.1 fl oz/6ct"
Body Soap,Uncategorized,Non-perishable,each,fl oz,2025-03-19,2025-12-21,61.71,7.00,1.00,0.1134,0.0769,7,1,"SoCozy Kid's Swim 3-in-1 Shampoo Conditioner Body Wash for All Hair Types, with Activated Charcoal, 10.5 fl oz | Ivory Bar Soap, Original Scent, All Skin Types, 4 Count, 4 Ounces Each | Native Coconut & Vanilla Body Wash, 18 fl oz | Olay Nourishing Body Wash for women, Hyaluronic Acid, 20 fl oz | Native Limited Edition Vanilla Cream & Pumpkin Body Wash 18 FL OZ"
Smucker S Uncrustables Peanut,Uncategorized,Non-perishable,each,oz,2025-07-10,2026-02-26,61.71,4.00,1.00,0.0648,0.0769,4,1,"Smucker’s Uncrustables Peanut Butter & Strawberry Jam Sandwiches, 10 Count, 2 oz Each, Frozen | Smucker’s Uncrustables Peanut Butter & Grape Jelly Sandwiches, 10 Count, 2 oz Each, Frozen | Smucker’s Uncrustables Peanut Butter & Raspberry Spread Sandwiches, 4 Count, 2 oz Each, Frozen"
Dishwasher Detergent,Uncategorized,Non-perishable,each,fl oz,2025-08-14,2026-01-28,61.71,3.00,1.00,0.0486,0.0769,3,1,"Cascade Complete Dishwasher Detergent Liquid Gel, Dish Detergent, Dish Soap, Fresh, 120 fl oz | Cascade Platinum Dishwasher Pods, Dishwasher Detergent, Dish Detergent Soap, Fresh, 12 Count | Finish Jet-Dry Rinse Aid, Dishwasher Rinse & Drying Agent - 8.45 fl oz: Plastic Bottle,"
Swiffer Sweep Mop Heavy,Uncategorized,Non-perishable,each,,2025-10-19,2025-12-17,61.71,3.00,1.00,0.0486,0.0769,2,1,"Swiffer Sweep + Mop Heavy Duty Wet Refills, Multi-Surface Floor Cleaner, Unstopables Fresh, 20 Count"
Flour,Uncategorized,Non-perishable,each,lb,2025-11-22,2026-01-21,61.71,2.00,1.00,0.0324,0.0769,2,1,"King Arthur Baking Company Non-GMO Project Verified, Certified Kosher Unbleached All Purpose Flour, 5 lb Bag | King Arthur Baking Company Non-GMO Project Verified, Certified Kosher Unbleached All Purpose Flour, 10 lb Bag"
Traditional Medicinals Turmeric With,Uncategorized,Non-perishable,each,,2025-12-11,2025-12-11,61.71,1.00,1.00,0.0162,0.0769,1,1,"Traditional Medicinals, Organic Turmeric with Meadowsweet & Ginger Herbal Tea Bags, 16 Count"
Yogi Tea Elderberry Lemon,Uncategorized,Non-perishable,each,,2025-12-11,2025-12-11,61.71,1.00,1.00,0.0162,0.0769,1,1,"Yogi Tea Elderberry Lemon Balm Immune Plus Stress, Herbal Tea Bags, 16 Count"
Butter,Uncategorized,Non-perishable,each,lb,2025-12-17,2025-12-17,61.71,1.00,1.00,0.0162,0.0769,1,1,"Land O Lakes Unsalted Butter, 4 Sticks, 1 lb Pack"
Tylenol Cold Flu Severe,Uncategorized,Non-perishable,each,,2025-12-21,2025-12-21,61.71,1.00,1.00,0.0162,0.0769,1,1,"Tylenol Cold + Flu Severe Caplets for Multi-Symptom Relief, 24 Count."
Pompeian Red Wine Vinegar,Uncategorized,Non-perishable,each,fl oz,2025-12-21,2025-12-21,61.71,1.00,1.00,0.0162,0.0769,1,1,Pompeian Red Wine Vinegar - 16 fl oz
Ocean Spray Cranberry Juice,Uncategorized,Non-perishable,each,fl oz,2025-12-21,2025-12-21,61.71,1.00,1.00,0.0162,0.0769,1,1,"Ocean Spray® Cranberry Juice Cocktail, 64 fl oz Bottle"
Welch S Non Alcoholic,Uncategorized,Non-perishable,each,fl oz,2025-12-21,2025-12-21,61.71,1.00,1.00,0.0162,0.0769,1,1,"(2 pack) Welch's Non-Alcoholic Sparkling Rosé Grape Juice Cocktail, 25.4 fl oz Bottle"
Swiffer Dusters Multi Surface,Uncategorized,Non-perishable,each,,2026-01-03,2026-01-03,61.71,1.00,1.00,0.0162,0.0769,1,1,"Swiffer Dusters Multi-Surface Refills, Unscented, 10 Count Dusters"
Equate Isopropyl Alcohol Antiseptic,Uncategorized,Non-perishable,each,fl oz,2026-01-09,2026-01-09,61.71,1.00,1.00,0.0162,0.0769,1,1,"Equate 70% Isopropyl Alcohol Antiseptic, 32 fl oz"
Wet Brush Go Green,Uncategorized,Non-perishable,each,,2026-01-11,2026-01-11,61.71,1.00,1.00,0.0162,0.0769,1,1,Wet Brush Go Green Tea Tree Oil Treatment Comb - Green 1CT
Pen Gear Economy White,Uncategorized,Non-perishable,each,,2026-01-11,2026-01-11,61.71,1.00,1.00,0.0162,0.0769,1,1,"Pen + Gear Economy White Poster Board, 22""x28"", 1 Count"
Core Power Elite Vanilla,Uncategorized,Non-perishable,each,fl oz,2026-01-12,2026-01-12,61.71,1.00,1.00,0.0162,0.0769,1,1,Core Power Elite Vanilla 42G Protein Shake - 14 fl oz Bottle
Disposable Plastic White Forks,Uncategorized,Non-perishable,each,,2026-01-13,2026-01-13,61.71,1.00,1.00,0.0162,0.0769,1,1,"Great Value Disposable Plastic White Forks, 48 Count"
Oikos Protein Shake Shelf,Uncategorized,Non-perishable,each,fl oz,2026-01-13,2026-01-13,61.71,1.00,1.00,0.0162,0.0769,1,1,"Oikos Protein Shake, Shelf Stable, Chocolate, 30g Protein, 12 fl oz, 4 Count​ Bottles"
Tazo Tea Latte Chai,Uncategorized,Non-perishable,each,fl oz,2026-01-13,2026-01-13,61.71,1.00,1.00,0.0162,0.0769,1,1,Tazo Organic Tea Latte Chai Black Tea - 32 fl oz
