canonical_item,category_guess,perishable_guess,base_unit,size_unit,first_date,last_date,weeks_observed_all,total_qty_all,total_qty_13w,units_per_week_all,units_per_week_13w,occurrences_all,occurrences_13w,raw_examples
Bagels,Bakery,Non-perishable,each,oz,2025-01-02,2026-03-09,61.71,72.00,13.00,1.1667,1.0000,59,11,"Thomas' Plain Mini Bagels, 10 count, Kosher Mini Bagels, 15 oz Bag | Thomas' Cinnamon Raisin Bagels, 6 count, 9g Protein, Kosher Bagels, 20 oz Bag | Bagel Bites Three Cheese Mini Pizza Bagel Frozen Snacks, 40 ct Box | Stacy’s No Artificial Colors or Flavors Sea Salt Bagel Chips Bag, 7 oz​"
Sausage,Meat,Perishable,each,oz,2025-01-12,2026-03-09,61.71,61.00,13.00,0.9884,1.0000,42,10,"Great Value Uncooked Original Breakfast Pork Sausage Links, 12 oz Package | Great Value Uncooked Original Breakfast Pork Sausage Patties, 12 oz Package (Refrigerated) | Jimmy Dean Fully Cooked Original Pork Sausage Links, 9.6 oz, 12 Count"
Oikos Triple Zero G,Dairy,Perishable,each,oz,2025-01-25,2026-03-09,61.71,24.00,13.00,0.3889,1.0000,17,9,"Oikos Triple Zero 17g Protein, 0g Added Sugar, Fat Free Vanilla Greek Yogurt Tub, 32 oz | Oikos Triple Zero 15g Protein, 0g Added Sugar, Fat Free Vanilla Greek Yogurt Cups, 5.3 oz, 4 Count"
English Muffins,Bakery,Non-perishable,each,oz,2025-01-02,2026-03-09,61.71,42.00,8.00,0.6806,0.6154,33,6,"Thomas' Light Multi-Grain English Muffins, 6 count, 100 Calories English Muffins, 12 oz Tray"
Planters Deluxe Honey Roasted,Uncategorized,Non-perishable,each,oz,2026-01-20,2026-03-05,61.71,6.00,6.00,0.0972,0.4615,5,5,"PLANTERS Deluxe Honey Roasted Whole Cashews, Sweet and Salty Snacks, Plant Based Protein, 8.25 oz Steel Can"
Mccormick Chili Seasoning Mix,Uncategorized,Non-perishable,each,oz,2025-01-02,2026-03-02,61.71,22.00,5.00,0.3565,0.3846,17,5,"McCormick Chili Seasoning Mix, 1.25 oz Packet"
Crackers,Uncategorized,Non-perishable,each,,2025-03-08,2026-02-04,61.71,8.00,5.00,0.1296,0.3846,8,5,"RITZ Peanut Butter Sandwich Crackers, Lunch Snacks, 20 Snack Packs (6 Crackers Per Pack) | (5 pack) Lunchables Ham and Cheddar Cracker Stackers Value Snack Kit, 1.9 oz Tray, Refrigerated, Pieces | Crunchmaster Multi-Seed Original Gluten-Free crackers, Party Pack, 7 oz. Bag in Box | Entertainment Collection Crackers Variety Pack - 13.1oz - Good & Gather™"
Juice,Uncategorized,Non-perishable,each,fl oz,2025-05-23,2026-02-22,61.71,12.00,5.00,0.1944,0.3846,9,4,"(2 pack) Capri Sun Fruit Punch Juice Box Pouches, 10 ct Box, 6 fl oz Pouches | Honest Kids Organic Appley Ever After Fruit Juice, 6 fl oz, 8 Juice Boxes | Honest Kids Organic Super Fruit Punch Juice, 6.75 fl oz, 8 Pouches | Capri Sun Summer Blast Passion Fruit Mango Flavored Juice Drink Blend, from Concentrate with Other Natural Flavor, 10 ct Box, 6 fl oz Pouches, Liquids | Great Value 100% Apple Juice, 96 fl oz"
Chicken Breast,Uncategorized,Perishable,fl oz,oz,2026-01-09,2026-01-27,61.71,5.00,5.00,0.0810,0.3846,3,3,"Swanson White Premium Chunk Chicken Breast with Rib Meat in Water, 12.5 oz. (Pack of 2)"
So Good So You,Uncategorized,Non-perishable,each,fl oz,2025-01-31,2026-01-14,61.71,5.00,4.00,0.0810,0.3077,4,3,So Good So You Energy Passionfruit Organic Probiotic Shot - 1.7 fl oz
Siete Mild Taco Seasoning,Uncategorized,Non-perishable,each,oz,2025-03-10,2026-02-16,61.71,5.00,4.00,0.0810,0.3077,4,3,"Siete Mild Taco Seasoning, Mixed Spice, 1.31 oz. Packet"
Pillsbury Grands Southern Style,Uncategorized,Non-perishable,each,oz,2025-12-21,2026-03-09,61.71,4.00,4.00,0.0648,0.3077,4,4,"Pillsbury Grands! Southern Style Frozen Breakfast Biscuits, Value Pack, 20 ct., 41.6 oz"
Corn,Bakery,Non-perishable,each,oz,2025-01-25,2026-03-02,61.71,7.00,3.00,0.1134,0.2308,6,3,"""JIFFY"" Corn Muffin Mix, 8.5 oz Box"
Canned Pineapple,Produce,Perishable,each,oz,2025-02-08,2026-02-16,61.71,4.00,3.00,0.0648,0.2308,4,3,"Dole Pineapple Tidbits in 100% Fruit Juice, 20 oz Can | Great Value Canned Crushed Pineapple, 20 oz | Great Value Canned Pineapple Tidbits, 20 oz"
